fps,dim,staleness,rmse_kf,rmse_held,n_samples
1,x,0,0.02633923315738808,0.04185616965371781,300
1,vx,0,0.037427801011003146,0.04045592934221387,300
1,y,0,0.026384735355285484,0.03710463571967458,300
1,vy,0,0.03589634496605612,0.041117774630965345,300
1,angle,0,0.03070840740098255,0.041908413966265344,300
1,angular_velocity,0,0.04205198117376975,0.04501072970463158,300
1,x,1,0.031569931339842046,0.051223385260152264,196
1,vx,1,0.06713929305248671,0.07408230586013333,196
1,y,1,0.029158513400355586,0.048102748711008475,196
1,vy,1,0.2574327953445616,0.25670053723747205,196
1,angle,1,0.038547679037359915,0.08067818332341892,196
1,angular_velocity,1,0.4626328802285727,0.46432342006666383,196
1,x,2,0.03156136378502808,0.05192946673909171,192
1,vx,2,0.09868508020059283,0.12022779763048973,192
1,y,2,0.02937319675306254,0.061178718206943816,192
1,vy,2,0.3137392363983433,0.30646643056194167,192
1,angle,2,0.038061652457165175,0.1303512000032241,192
1,angular_velocity,2,0.6805600838090115,0.6836195175490962,192
1,x,3,0.03118086710641385,0.052763559249744595,186
1,vx,3,0.10272985564537762,0.13051476969166007,186
1,y,3,0.028380144932605822,0.08003503212150591,186
1,vy,3,0.2060659211509273,0.21507169933776882,186
1,angle,3,0.03814928935155061,0.18194463247972004,186
1,angular_velocity,3,0.1934594358607448,0.21280060296565567,186
1,x,4,0.031015038961226545,0.053661051062667255,184
1,vx,4,0.07803737459882251,0.11099558697105551,184
1,y,4,0.028066187947570938,0.10022088092025239,184
1,vy,4,0.2969326379853486,0.29128923032225496,184
1,angle,4,0.04067154447089706,0.23887030090370748,184
1,angular_velocity,4,0.8267156196739791,0.8351670366986225,184
1,x,5,0.030588749987222184,0.05509146789613734,179
1,vx,5,0.058854413579748695,0.11539186493441893,179
1,y,5,0.02823624507070054,0.1206522148206823,179
1,vy,5,0.12942505004182706,0.22833769984659094,179
1,angle,5,0.03899729053296111,0.2805895793059652,179
1,angular_velocity,5,0.08406208341006495,0.16867664578629551,179
1,x,6,0.030557821415693742,0.05649810642290018,178
1,vx,6,0.06103432123149976,0.12909859471871762,178
1,y,6,0.02740125773108683,0.14459586915735043,178
1,vy,6,0.05427060664388773,0.22674909967881668,178
1,angle,6,0.04040819117183508,0.3349167787978111,178
1,angular_velocity,6,0.09668203490888246,0.19975958219794349,178
1,x,7,0.030527704039071867,0.05803513664601871,178
1,vx,7,0.09877015747789482,0.1375249922827883,178
1,y,7,0.02882908322900485,0.16805973123432577,178
1,vy,7,0.32726594492724675,0.37430078983925175,178
1,angle,7,0.04992906482248867,0.39122257308999187,178
1,angular_velocity,7,0.9387400617631001,0.9614328989687488,178
1,x,8,0.02899722709928732,0.059471794192491746,171
1,vx,8,0.0681741672066777,0.1421405190989249,171
1,y,8,0.027313729379168965,0.187887578199241,171
1,vy,8,0.21677676698131154,0.32665293182607,171
1,angle,8,0.05084261565656909,0.4265096758675281,171
1,angular_velocity,8,0.7011627653528457,0.7419882718587517,171
1,x,9,0.02848463334430894,0.0611100418760827,169
1,vx,9,0.07692157653303054,0.15438459575244576,169
1,y,9,0.029915305738774045,0.20844771916536367,169
1,vy,9,0.40494612691160375,0.4142771212974229,169
1,angle,9,0.0545522603713174,0.4697620125911211,169
1,angular_velocity,9,1.1973211838444626,1.229733873075897,169
1,x,10,0.028207774810192397,0.06408261726381,162
1,vx,10,0.12246644728226307,0.17783727898163718,162
1,y,10,0.028637732050592227,0.2224514545061175,162
1,vy,10,0.45873773913411403,0.45453450260779316,162
1,angle,10,0.05824892643751932,0.48429463003540696,162
1,angular_velocity,10,1.0298250762031371,1.0760142275920503,162
1,x,11,0.02720583624535821,0.06659623976558326,154
1,vx,11,0.0723047023666847,0.14571361118982523,154
1,y,11,0.027700973431993507,0.23080086191501883,154
1,vy,11,0.062444551055808574,0.35937302241150704,154
1,angle,11,0.05307097731069983,0.4958149854395705,154
1,angular_velocity,11,0.1690121415897118,0.394957906794894,154
1,x,12,0.027231968949879795,0.06903922647290575,154
