step,value
16384,303.0
32768,318.0
49152,330.0
65536,342.0
81920,354.0
98304,364.0
114688,373.0
131072,381.0
147456,389.0
163840,397.0
180224,404.0
196608,411.0
212992,419.0
229376,426.0
245760,432.0
262144,438.0
278528,444.0
294912,450.0
311296,456.0
327680,461.0
344064,466.0
360448,470.0
376832,475.0
393216,478.0
409600,482.0
425984,484.0
442368,487.0
458752,489.0
475136,491.0
491520,493.0
507904,494.0
524288,496.0
540672,498.0
557056,500.0
573440,501.0
589824,502.0
606208,504.0
622592,505.0
638976,506.0
655360,507.0
671744,507.0
688128,508.0
704512,509.0
720896,510.0
737280,511.0
753664,511.0
770048,511.0
786432,512.0
802816,512.0
819200,513.0
835584,514.0
851968,514.0
868352,514.0
884736,515.0
901120,515.0
917504,515.0
933888,516.0
950272,516.0
966656,516.0
983040,517.0
999424,517.0
1015808,518.0
1032192,518.0
1048576,518.0
1064960,518.0
1081344,518.0
1097728,519.0
1114112,519.0
1130496,519.0
1146880,519.0
1163264,520.0
1179648,520.0
1196032,520.0
1212416,520.0
1228800,520.0
1245184,520.0
1261568,520.0
1277952,520.0
1294336,520.0
1310720,520.0
1327104,520.0
1343488,520.0
1359872,520.0
1376256,520.0
1392640,521.0
1409024,521.0
1425408,521.0
1441792,521.0
1458176,521.0
1474560,522.0
1490944,522.0
1507328,522.0
1523712,522.0
1540096,522.0
1556480,522.0
1572864,522.0
1589248,522.0
1605632,522.0
1622016,522.0
1638400,522.0
1654784,522.0
1671168,522.0
1687552,522.0
1703936,523.0
1720320,523.0
1736704,523.0
1753088,523.0
1769472,523.0
1785856,523.0
1802240,523.0
1818624,523.0
1835008,524.0
1851392,524.0
1867776,524.0
1884160,524.0
1900544,524.0
1916928,524.0
1933312,524.0
1949696,524.0
1966080,524.0
1982464,524.0
1998848,525.0
2015232,525.0
2031616,525.0
2048000,525.0
2064384,525.0
2080768,525.0
2097152,525.0
2113536,525.0
2129920,525.0
2146304,525.0
2162688,525.0
2179072,525.0
2195456,525.0
2211840,526.0
2228224,526.0
2244608,526.0
2260992,526.0
2277376,526.0
2293760,526.0
2310144,526.0
2326528,526.0
2342912,526.0
2359296,526.0
2375680,526.0
2392064,526.0
2408448,526.0
2424832,526.0
2441216,526.0
2457600,526.0
2473984,526.0
2490368,526.0
2506752,526.0
2523136,526.0
2539520,526.0
2555904,526.0
2572288,526.0
2588672,526.0
2605056,526.0
2621440,526.0
2637824,526.0
2654208,526.0
2670592,526.0
2686976,526.0
2703360,526.0
2719744,526.0
2736128,526.0
2752512,526.0
2768896,526.0
2785280,526.0
2801664,526.0
2818048,526.0
2834432,526.0
2850816,526.0
2867200,526.0
2883584,526.0
2899968,526.0
2916352,526.0
2932736,526.0
2949120,526.0
2965504,526.0
2981888,526.0
2998272,526.0
3014656,526.0
3031040,526.0
3047424,526.0
3063808,526.0
3080192,527.0
3096576,527.0
3112960,527.0
3129344,527.0
3145728,527.0
3162112,527.0
3178496,527.0
3194880,527.0
3211264,527.0
3227648,528.0
3244032,528.0
3260416,528.0
3276800,528.0
3293184,528.0
3309568,528.0
3325952,528.0
3342336,528.0
3358720,528.0
3375104,528.0
3391488,529.0
3407872,529.0
3424256,529.0
3440640,529.0
3457024,529.0
3473408,529.0
3489792,529.0
3506176,529.0
3522560,530.0
3538944,530.0
3555328,530.0
3571712,530.0
3588096,530.0
3604480,530.0
3620864,530.0
3637248,530.0
3653632,530.0
3670016,530.0
3686400,530.0
3702784,531.0
3719168,531.0
3735552,531.0
3751936,531.0
3768320,531.0
3784704,531.0
3801088,531.0
3817472,531.0
3833856,531.0
3850240,531.0
3866624,531.0
3883008,531.0
3899392,531.0
3915776,531.0
3932160,531.0
3948544,531.0
3964928,532.0
3981312,532.0
3997696,532.0
4014080,532.0
4030464,532.0
4046848,532.0
4063232,532.0
4079616,532.0
4096000,532.0
4112384,533.0
4128768,533.0
4145152,533.0
4161536,533.0
4177920,533.0
4194304,533.0
4210688,533.0
4227072,533.0
4243456,533.0
4259840,534.0
4276224,534.0
4292608,534.0
4308992,534.0
4325376,534.0
4341760,534.0
4358144,535.0
4374528,535.0
4390912,535.0
4407296,535.0
4423680,535.0
4440064,535.0
4456448,535.0
4472832,535.0
4489216,535.0
4505600,535.0
4521984,535.0
4538368,535.0
4554752,536.0
4571136,536.0
4587520,536.0
4603904,536.0
4620288,536.0
4636672,536.0
4653056,536.0
4669440,536.0
4685824,536.0
4702208,536.0
4718592,536.0
4734976,536.0
4751360,536.0
4767744,536.0
4784128,536.0
4800512,537.0
4816896,537.0
4833280,537.0
4849664,537.0
4866048,537.0
4882432,537.0
4898816,537.0
4915200,537.0
4931584,537.0
4947968,537.0
4964352,537.0
4980736,537.0
4997120,538.0
5013504,538.0
5029888,538.0
5046272,538.0
5062656,538.0
5079040,538.0
5095424,538.0
5111808,538.0
5128192,538.0
5144576,539.0
5160960,539.0
5177344,539.0
5193728,539.0
5210112,539.0
5226496,539.0
5242880,539.0
5259264,539.0
5275648,539.0
5292032,539.0
5308416,539.0
5324800,539.0
5341184,540.0
5357568,540.0
5373952,540.0
5390336,540.0
5406720,540.0
5423104,540.0
5439488,540.0
5455872,540.0
5472256,540.0
5488640,540.0
5505024,540.0
5521408,540.0
5537792,540.0
5554176,540.0
5570560,540.0
5586944,540.0
5603328,540.0
5619712,540.0
5636096,540.0
5652480,540.0
5668864,541.0
5685248,541.0
5701632,541.0
5718016,541.0
5734400,541.0
5750784,541.0
5767168,541.0
5783552,541.0
5799936,541.0
5816320,541.0
5832704,541.0
5849088,541.0
5865472,541.0
5881856,542.0
5898240,542.0
5914624,542.0
5931008,542.0
5947392,542.0
5963776,542.0
5980160,542.0
5996544,542.0
6012928,542.0
6029312,542.0
6045696,542.0
6062080,542.0
6078464,542.0
6094848,542.0
6111232,542.0
6127616,542.0
6144000,542.0
6160384,542.0
6176768,542.0
6193152,542.0
6209536,543.0
6225920,543.0
6242304,543.0
6258688,543.0
6275072,543.0
6291456,543.0
6307840,543.0
6324224,543.0
6340608,543.0
6356992,543.0
6373376,543.0
6389760,544.0
6406144,544.0
6422528,544.0
6438912,544.0
6455296,544.0
6471680,544.0
6488064,544.0
6504448,544.0
6520832,544.0
6537216,545.0
6553600,545.0
6569984,545.0
6586368,545.0
6602752,545.0
6619136,545.0
6635520,545.0
6651904,546.0
6668288,546.0
6684672,546.0
6701056,546.0
6717440,546.0
6733824,546.0
6750208,546.0
6766592,546.0
6782976,547.0
6799360,547.0
6815744,547.0
6832128,547.0
6848512,547.0
6864896,547.0
6881280,547.0
6897664,547.0
6914048,547.0
6930432,547.0
6946816,548.0
6963200,548.0
6979584,548.0
6995968,548.0
7012352,548.0
7028736,548.0
7045120,548.0
7061504,548.0
7077888,548.0
7094272,549.0
7110656,549.0
7127040,549.0
7143424,549.0
7159808,549.0
7176192,549.0
7192576,549.0
7208960,550.0
7225344,550.0
7241728,550.0
7258112,550.0
7274496,550.0
7290880,550.0
7307264,550.0
7323648,550.0
7340032,551.0
7356416,551.0
7372800,551.0
7389184,551.0
7405568,551.0
7421952,551.0
7438336,551.0
7454720,551.0
7471104,551.0
7487488,552.0
7503872,552.0
7520256,552.0
7536640,552.0
7553024,552.0
7569408,552.0
7585792,552.0
7602176,553.0
7618560,553.0
7634944,553.0
7651328,553.0
7667712,553.0
7684096,553.0
7700480,553.0
7716864,554.0
7733248,554.0
7749632,554.0
7766016,554.0
7782400,554.0
7798784,554.0
7815168,555.0
7831552,555.0
7847936,555.0
7864320,555.0
7880704,555.0
7897088,555.0
7913472,555.0
7929856,556.0
7946240,556.0
7962624,556.0
7979008,556.0
7995392,556.0
8011776,556.0
8028160,557.0
8044544,557.0
8060928,557.0
8077312,557.0
8093696,557.0
8110080,557.0
8126464,558.0
8142848,558.0
8159232,558.0
8175616,558.0
8192000,558.0
8208384,559.0
8224768,559.0
8241152,559.0
8257536,559.0
8273920,559.0
8290304,560.0
8306688,560.0
8323072,560.0
8339456,560.0
8355840,560.0
8372224,561.0
8388608,561.0
8404992,561.0
8421376,561.0
8437760,561.0
8454144,562.0
8470528,562.0
8486912,562.0
8503296,562.0
8519680,563.0
8536064,563.0
8552448,563.0
8568832,563.0
8585216,563.0
8601600,564.0
8617984,564.0
8634368,564.0
8650752,564.0
8667136,564.0
8683520,565.0
8699904,565.0
8716288,565.0
8732672,565.0
8749056,565.0
8765440,566.0
8781824,566.0
8798208,566.0
8814592,566.0
8830976,566.0
8847360,566.0
8863744,567.0
8880128,567.0
8896512,567.0
8912896,567.0
8929280,567.0
8945664,568.0
8962048,568.0
8978432,568.0
8994816,568.0
9011200,568.0
9027584,569.0
9043968,569.0
9060352,569.0
9076736,569.0
9093120,569.0
9109504,569.0
9125888,570.0
9142272,570.0
9158656,570.0
9175040,570.0
9191424,570.0
9207808,570.0
9224192,571.0
9240576,571.0
9256960,571.0
9273344,571.0
9289728,571.0
9306112,571.0
9322496,572.0
9338880,572.0
9355264,572.0
9371648,572.0
9388032,572.0
9404416,572.0
9420800,572.0
9437184,573.0
9453568,573.0
9469952,573.0
9486336,573.0
9502720,573.0
9519104,574.0
9535488,574.0
9551872,574.0
9568256,574.0
9584640,574.0
9601024,574.0
9617408,575.0
9633792,575.0
9650176,575.0
9666560,575.0
9682944,576.0
9699328,576.0
9715712,576.0
9732096,576.0
9748480,576.0
9764864,576.0
9781248,577.0
9797632,577.0
9814016,577.0
9830400,577.0
9846784,577.0
9863168,578.0
9879552,578.0
9895936,578.0
