step,value
160,64.0
448,100.0
528,147.0
576,67.0
1168,116.0
1376,51.0
1696,108.0
1888,82.0
2256,74.0
2368,94.0
3808,84.0
3856,75.0
4384,105.0
4848,70.0
5568,67.0
5616,58.0
5760,60.0
6448,62.0
6736,64.0
7120,59.0
7680,111.0
7920,56.0
8944,135.0
10176,156.0
10752,88.0
11056,92.0
11904,128.0
12544,75.0
13088,76.0
13728,144.0
14048,116.0
14240,87.0
15040,92.0
15920,77.0
16048,59.0
17568,81.0
17888,73.0
18240,108.0
18672,56.0
18912,129.0
19040,65.0
19632,59.0
19760,62.0
21296,60.0
23456,127.0
23488,84.0
26480,52.0
26544,96.0
26624,69.0
27136,79.0
27328,89.0
27504,127.0
28960,67.0
29248,69.0
29312,79.0
29440,142.0
29920,72.0
30672,209.0
31776,61.0
31968,166.0
32848,83.0
32864,50.0
33552,153.0
33856,81.0
34048,87.0
34272,61.0
36432,87.0
37600,90.0
37968,116.0
38016,87.0
38592,117.0
39872,474.0
40288,83.0
40560,85.0
40640,106.0
41328,118.0
41376,65.0
42000,83.0
42224,59.0
43408,115.0
43872,427.0
44880,62.0
45200,159.0
45808,163.0
46224,88.0
46256,184.0
47488,82.0
48080,140.0
49632,128.0
51776,88.0
52720,64.0
53712,128.0
55392,97.0
55600,118.0
55840,124.0
57056,105.0
57728,105.0
58384,135.0
60704,95.0
61504,87.0
62864,170.0
63984,67.0
66960,132.0
68224,63.0
70208,90.0
70208,74.0
71152,254.0
71632,90.0
71968,94.0
72352,100.0
74128,80.0
74608,196.0
76784,70.0
80064,71.0
82592,83.0
83504,112.0
85072,100.0
85936,82.0
87424,194.0
87520,56.0
90592,104.0
91264,305.0
91680,251.0
96224,203.0
96480,75.0
97024,72.0
97328,100.0
97808,256.0
100544,176.0
100944,100.0
101424,68.0
102720,101.0
103200,99.0
104544,126.0
105472,88.0
105968,173.0
107232,127.0
109152,82.0
109168,125.0
110208,102.0
111344,91.0
111392,102.0
112224,105.0
117056,95.0
117808,104.0
118656,138.0
120224,118.0
122704,101.0
122832,96.0
123440,118.0
125744,81.0
126512,75.0
127232,126.0
129040,91.0
129216,104.0
129360,96.0
130544,99.0
131184,187.0
133968,79.0
134352,353.0
135776,84.0
135888,93.0
140320,96.0
141840,120.0
142000,101.0
146496,119.0
147648,451.0
147664,209.0
148576,71.0
149856,145.0
150160,97.0
150960,83.0
153136,196.0
153312,158.0
156208,116.0
156464,106.0
157136,269.0
157936,175.0
158784,122.0
160240,93.0
163936,105.0
168768,191.0
172304,111.0
174800,123.0
174816,164.0
175856,86.0
179936,85.0
184016,270.0
186336,162.0
187440,94.0
187584,125.0
189504,112.0
192640,118.0
194000,102.0
198016,99.0
198560,85.0
199792,174.0
201024,189.0
201552,98.0
202512,262.0
203840,120.0
207232,100.0
208624,89.0
209152,500.0
211728,106.0
212144,205.0
213600,204.0
213728,114.0
217504,184.0
219248,362.0
226240,110.0
226256,81.0
226624,194.0
229648,210.0
235408,94.0
236496,94.0
236864,112.0
237232,105.0
241600,121.0
241712,121.0
244720,231.0
244800,240.0
245280,142.0
253024,278.0
259360,104.0
260848,202.0
261216,119.0
261504,198.0
262400,98.0
263296,186.0
263728,174.0
263856,194.0
264176,184.0
270160,186.0
270672,375.0
272768,170.0
272880,191.0
275712,183.0
276288,70.0
277808,225.0
279680,207.0
286656,181.0
287392,216.0
293088,84.0
293344,162.0
294032,95.0
294528,149.0
294624,81.0
295792,194.0
297872,76.0
302144,189.0
302496,207.0
305008,152.0
305600,237.0
307232,125.0
315584,201.0
320848,190.0
321136,210.0
323616,204.0
326336,254.0
328752,125.0
334464,216.0
335312,121.0
343232,82.0
345312,288.0
345648,230.0
347536,182.0
350240,193.0
350480,102.0
351376,182.0
358256,500.0
358608,190.0
362432,142.0
365168,170.0
367472,186.0
367520,177.0
367872,118.0
368160,107.0
370928,202.0
371248,174.0
372304,161.0
372640,203.0
374704,131.0
376480,269.0
379104,177.0
384384,158.0
388384,187.0
389520,179.0
389920,155.0
391360,181.0
402048,108.0
404832,225.0
411280,169.0
414176,222.0
421120,219.0
422096,240.0
424400,132.0
424640,195.0
424848,179.0
424896,107.0
426592,134.0
427152,175.0
427216,173.0
432704,242.0
432704,180.0
434912,180.0
435040,159.0
439424,143.0
441808,196.0
443568,229.0
447488,206.0
453312,158.0
453600,371.0
454256,127.0
456768,187.0
457856,164.0
458288,158.0
458512,164.0
460896,235.0
462256,83.0
467120,213.0
467392,197.0
468320,185.0
469360,221.0
470096,188.0
473232,169.0
476832,183.0
480912,236.0
483568,260.0
485408,166.0
485872,102.0
487104,137.0
493648,174.0
496304,112.0
498928,193.0
500384,155.0
500624,178.0
503200,80.0
508384,353.0
508608,199.0
510720,192.0
514992,202.0
519184,192.0
520304,116.0
520528,237.0
525152,118.0
529680,215.0
531216,179.0
532080,131.0
537056,192.0
542048,218.0
543136,174.0
543664,94.0
544176,203.0
545376,123.0
545536,124.0
546592,166.0
547936,206.0
549008,162.0
549136,126.0
552000,220.0
553248,230.0
553520,252.0
555472,190.0
558848,145.0
560432,169.0
563440,124.0
565792,110.0
566624,110.0
566624,229.0
570080,121.0
570832,200.0
572640,205.0
573584,222.0
578208,174.0
582192,186.0
584048,114.0
594176,124.0
601792,234.0
602432,202.0
604464,207.0
607008,186.0
608064,323.0
609552,283.0
614560,182.0
616192,181.0
618848,154.0
621648,190.0
623232,242.0
625008,231.0
626832,244.0
631040,334.0
632272,257.0
633968,204.0
635296,127.0
637712,283.0
639536,155.0
640704,132.0
641424,166.0
642208,124.0
643072,190.0
645856,157.0
647664,229.0
648192,223.0
650752,190.0
651168,146.0
652976,172.0
654336,129.0
662176,143.0
664928,216.0
665520,189.0
670256,109.0
