step,value
448,14.0
2256,3.0
3808,3.0
4848,5.0
5616,6.0
6448,4.0
6736,3.0
7920,3.0
8944,9.0
11904,12.0
13728,12.0
14048,13.0
16048,3.0
19632,4.0
19760,2.0
26480,3.0
27136,5.0
27504,10.0
30672,15.0
31968,13.0
32848,11.0
33856,12.0
37968,9.0
38592,13.0
39872,30.0
40640,5.0
41376,5.0
47488,6.0
49632,8.0
51776,6.0
53712,8.0
55840,14.0
57728,13.0
60704,13.0
61504,5.0
62864,16.0
66960,18.0
70208,11.0
71152,25.0
72352,12.0
83504,11.0
85936,14.0
87424,20.0
91264,33.0
91680,22.0
96480,6.0
97328,15.0
97808,34.0
100944,14.0
101424,3.0
102720,12.0
109152,13.0
111392,17.0
112224,17.0
120224,18.0
122704,13.0
123440,16.0
129360,15.0
130544,14.0
131184,23.0
134352,48.0
142000,5.0
148576,4.0
150960,12.0
153136,32.0
156464,15.0
157136,31.0
163936,16.0
174816,28.0
175856,12.0
179936,16.0
184016,48.0
194000,18.0
198016,16.0
198560,14.0
199792,27.0
201024,38.0
203840,21.0
208624,14.0
209152,79.0
217504,24.0
226256,16.0
226624,35.0
236864,21.0
241600,22.0
241712,19.0
244800,36.0
253024,51.0
263296,35.0
263728,25.0
263856,32.0
264176,37.0
270672,56.0
275712,34.0
287392,31.0
293344,31.0
294032,18.0
294528,29.0
302496,41.0
305008,30.0
315584,39.0
320848,30.0
323616,39.0
328752,24.0
335312,25.0
345312,50.0
347536,36.0
350240,29.0
351376,37.0
358256,93.0
358608,28.0
362432,28.0
367472,38.0
367520,34.0
368160,23.0
372640,30.0
374704,27.0
379104,35.0
388384,29.0
389520,35.0
389920,31.0
391360,37.0
402048,21.0
421120,45.0
422096,37.0
424400,26.0
424640,35.0
424848,29.0
426592,24.0
427152,36.0
432704,26.0
434912,35.0
435040,28.0
439424,30.0
443568,34.0
454256,23.0
456768,28.0
458288,26.0
467392,35.0
470096,25.0
476832,27.0
480912,30.0
483568,45.0
485408,31.0
485872,20.0
487104,27.0
493648,35.0
496304,24.0
500624,35.0
508384,60.0
510720,32.0
519184,30.0
520528,44.0
525152,26.0
529680,39.0
532080,25.0
537056,37.0
543664,19.0
546592,28.0
549008,24.0
549136,25.0
553520,39.0
558848,29.0
570080,25.0
570832,38.0
572640,33.0
573584,29.0
578208,26.0
582192,36.0
601792,37.0
608064,47.0
618848,32.0
621648,30.0
625008,34.0
632272,42.0
647664,31.0
648192,39.0
670256,21.0
679600,37.0
679872,29.0
683376,32.0
690640,31.0
691760,23.0
695952,23.0
707696,32.0
713456,41.0
724576,24.0
730000,22.0
736256,30.0
740240,31.0
742832,31.0
746304,26.0
749264,18.0
752112,31.0
753968,27.0
755296,29.0
756528,24.0
757296,52.0
764976,29.0
766192,35.0
769808,30.0
774304,33.0
775392,34.0
786320,38.0
786976,34.0
793392,29.0
803296,31.0
805328,20.0
805856,31.0
808704,58.0
820288,27.0
822720,31.0
825776,34.0
827744,32.0
846608,26.0
847152,20.0
849200,27.0
852480,23.0
852800,31.0
855184,37.0
891440,94.0
896544,34.0
900832,40.0
905216,29.0
906304,24.0
922768,31.0
928848,52.0
943360,28.0
944912,38.0
954400,44.0
956080,27.0
957280,32.0
968992,31.0
969648,40.0
971200,37.0
974784,32.0
983008,34.0
990976,21.0
992352,27.0
998368,31.0
1001072,27.0
1003840,24.0
1005968,28.0
1009776,29.0
1018800,24.0
1019600,27.0
1023824,34.0
1025280,29.0
1032000,30.0
1034752,42.0
1038896,27.0
1041776,28.0
1047424,27.0
1048368,25.0
1057344,26.0
1057936,24.0
1066000,26.0
1070464,21.0
1086688,24.0
1087424,33.0
1087856,28.0
1089952,28.0
1094528,29.0
1106304,43.0
1110304,31.0
1113728,33.0
1121680,29.0
1131472,27.0
1141408,22.0
1143104,34.0
1148432,33.0
1150032,25.0
1151952,30.0
1158448,22.0
1159984,23.0
1165616,24.0
1177376,41.0
1184080,26.0
1184176,39.0
1189504,34.0
1194576,25.0
1199280,35.0
1205056,30.0
1209952,18.0
1215696,41.0
1226160,20.0
1227936,28.0
1228336,16.0
1231920,25.0
1235856,25.0
1252784,29.0
1257792,28.0
1266896,31.0
1267664,28.0
1267728,35.0
1269392,29.0
1269840,28.0
1270560,38.0
1284640,41.0
1286304,29.0
1292368,24.0
1297520,19.0
1303184,26.0
1305680,34.0
1320000,24.0
1332256,29.0
1335008,30.0
1337600,28.0
1342448,31.0
1348304,31.0
1355328,32.0
1355936,27.0
1356336,43.0
1360736,24.0
1362464,17.0
1367200,23.0
1370544,34.0
1375392,91.0
1379120,32.0
1389696,18.0
1396960,27.0
1397632,39.0
1399776,33.0
1400064,35.0
1400752,23.0
1402048,28.0
1403360,31.0
1407632,32.0
1409024,18.0
1410992,32.0
1413952,22.0
1418064,22.0
1418576,36.0
1422240,32.0
1439488,28.0
1442784,52.0
1447104,37.0
1453920,36.0
1454144,44.0
1461136,29.0
1464896,33.0
1470752,24.0
1480480,25.0
1482960,25.0
1487264,63.0
1489600,24.0
1491280,25.0
1515248,29.0
1518944,33.0
1520304,30.0
1525280,24.0
1531280,33.0
1555904,24.0
1567440,31.0
1567920,27.0
1568816,28.0
1572848,21.0
1572976,36.0
1580464,27.0
1584416,27.0
1589712,35.0
1591024,30.0
1596336,39.0
1596928,22.0
1601712,22.0
1608960,30.0
1610624,30.0
1629344,24.0
1634752,24.0
1641392,21.0
1643008,32.0
1648048,39.0
1648640,35.0
1661280,40.0
1668256,20.0
1690464,31.0
1691040,34.0
1701680,86.0
1701904,35.0
1713280,31.0
1718448,34.0
1724384,45.0
1732304,31.0
1739328,26.0
1743792,29.0
1746432,31.0
1747152,29.0
1751456,27.0
1753552,22.0
1758752,22.0
1760736,22.0
1773712,20.0
1783776,28.0
1812240,46.0
1814240,27.0
1815776,38.0
1816224,27.0
1817536,33.0
1818752,23.0
1827856,24.0
1828064,33.0
1838192,39.0
1851968,22.0
1855488,29.0
1855600,33.0
1864272,31.0
1864320,27.0
1864416,28.0
1865872,26.0
1877216,23.0
1881328,31.0
1886768,37.0
1916544,31.0
1924800,27.0
1927184,27.0
1937408,31.0
1942608,28.0
1945376,33.0
1947712,29.0
1947808,26.0
1948272,37.0
1950368,33.0
1951168,23.0
1951584,27.0
1951712,28.0
1954656,38.0
1960736,22.0
1970992,26.0
1979872,27.0
1985904,33.0
1989760,24.0
1995888,28.0
1997248,30.0
2007408,31.0
2008576,26.0
2016224,36.0
2019328,38.0
2021168,24.0
2025104,29.0
2025696,38.0
2032448,25.0
2038064,26.0
2041248,27.0
2049104,35.0
2054672,24.0
2056688,38.0
2057040,31.0
2061760,35.0
2065824,28.0
2068384,52.0
2068544,33.0
2077664,27.0
2079344,29.0
2089760,38.0
2094864,19.0
2103376,31.0
2105200,25.0
2105296,28.0
2106320,25.0
2109600,27.0
2115456,25.0
2115680,26.0
2126272,42.0
2133024,32.0
2142064,36.0
2146224,32.0
2151456,32.0
2159712,45.0
2163008,28.0
2165488,29.0
2168528,37.0
2173584,43.0
2174832,30.0
2177088,26.0
2179600,31.0
2196576,25.0
2202992,39.0
2204208,27.0
2211680,27.0
2215616,25.0
2217488,30.0
2222656,27.0
2234976,24.0
2242064,28.0
2258400,28.0
2275232,20.0
2282816,28.0
2292512,40.0
2302576,29.0
2302656,27.0
2306896,31.0
2315600,30.0
2315648,16.0
2322128,21.0
2326400,28.0
2332144,40.0
2332576,27.0
2339456,31.0
2346176,25.0
2351088,30.0
2351456,23.0
2359712,31.0
2361472,38.0
2362800,32.0
2365072,28.0
2365376,21.0
2384944,27.0
2386528,29.0
2404144,34.0
2409600,27.0
2417552,25.0
2432448,29.0
2444608,22.0
2452752,30.0
2457488,26.0
2458816,30.0
2464912,29.0
2465344,30.0
2466544,24.0
2468688,25.0
2468944,26.0
2471856,23.0
2474416,34.0
2488528,31.0
2488816,32.0
2508992,24.0
2527552,19.0
2531760,28.0
2533808,18.0
2536288,24.0
2538496,24.0
2545104,35.0
2552064,31.0
2553232,30.0
2571488,24.0
2572240,27.0
2572288,31.0
2574096,24.0
2580704,24.0
2586080,27.0
2586784,29.0
2593936,29.0
2594176,30.0
2595600,20.0
2598064,37.0
2598112,27.0
2612416,34.0
2618352,25.0
2622656,29.0
2623536,28.0
2642288,26.0
2646784,27.0
2651200,25.0
2653552,25.0
2656032,22.0
2667184,31.0
2673760,26.0
2680416,25.0
2680640,20.0
2685328,27.0
2688448,20.0
2688688,32.0
2688976,32.0
2694288,41.0
2695680,26.0
2700224,33.0
2704816,22.0
2706032,26.0
2706448,35.0
2729024,24.0
2740096,28.0
2745376,31.0
2751856,29.0
2757632,24.0
2758384,24.0
2758752,28.0
2764320,30.0
2772384,29.0
2774160,27.0
2782992,24.0
2788112,22.0
2788592,31.0
2798448,25.0
2801216,18.0
2820112,23.0
2821840,28.0
2827040,26.0
2827328,30.0
2828320,27.0
2831376,29.0
2834592,36.0
2837456,37.0
2840064,25.0
2845232,33.0
2847088,30.0
2848496,31.0
2856640,22.0
2866736,24.0
2869184,59.0
2870016,21.0
2871952,34.0
2884224,27.0
2896256,33.0
2896336,27.0
2897248,43.0
2899072,27.0
2900720,24.0
2902288,28.0
2903504,35.0
2916896,18.0
2917504,35.0
2918736,30.0
2921216,28.0
2924800,32.0
2925536,31.0
2930544,33.0
2933776,30.0
2940416,28.0
2942672,26.0
2943504,25.0
2951776,28.0
2951984,25.0
2955744,26.0
2956672,33.0
2957536,29.0
2959488,25.0
2960944,32.0
2975072,26.0
2981216,19.0
2982576,28.0
3010272,24.0
3011408,36.0
3020640,35.0
3027600,25.0
3028384,33.0
3040176,29.0
3041136,37.0
3043648,34.0
3047952,20.0
3065296,34.0
3077136,31.0
3079408,32.0
3087264,25.0
3089424,25.0
3092896,25.0
3095648,33.0
3097168,45.0
