step,value
2192,137.0
5760,125.0
6752,103.0
7328,92.0
8080,61.0
13888,74.0
15840,172.0
21424,94.0
23568,59.0
29184,247.0
30720,89.0
49792,88.0
50800,73.0
59120,57.0
64256,85.0
65888,148.0
76896,227.0
77616,128.0
80560,305.0
84368,76.0
88192,80.0
92272,66.0
96176,124.0
103232,133.0
111152,89.0
114816,83.0
124448,69.0
132032,169.0
147120,183.0
151760,70.0
154240,127.0
162704,106.0
167184,290.0
181312,119.0
182192,138.0
190864,121.0
192016,239.0
201392,274.0
214624,264.0
220144,104.0
223568,99.0
238240,211.0
250240,84.0
251200,78.0
255232,92.0
257552,234.0
272832,98.0
283136,123.0
290112,95.0
290400,250.0
296080,97.0
303056,117.0
306960,107.0
308784,165.0
318864,112.0
321040,186.0
321040,115.0
324720,127.0
343664,108.0
378800,94.0
379216,217.0
401856,500.0
425280,80.0
425616,108.0
426832,67.0
432896,92.0
435008,81.0
438192,224.0
440448,96.0
455568,350.0
465424,156.0
471296,285.0
472240,136.0
475232,225.0
478352,174.0
482336,234.0
483840,93.0
484608,98.0
485552,271.0
489264,229.0
497472,90.0
500944,108.0
518512,124.0
522528,293.0
528352,226.0
531344,500.0
539536,118.0
540976,89.0
541648,500.0
550080,287.0
554688,202.0
556704,125.0
560208,163.0
574032,89.0
592384,106.0
597248,177.0
610320,95.0
617024,124.0
617280,338.0
620304,89.0
625712,121.0
645440,138.0
651920,87.0
652688,287.0
653152,213.0
656720,222.0
657984,162.0
659328,400.0
668384,99.0
671248,98.0
671824,80.0
682112,205.0
686384,105.0
703216,250.0
709504,110.0
725104,219.0
730880,126.0
741712,96.0
748976,196.0
749968,115.0
769376,109.0
779088,81.0
800240,129.0
805792,328.0
813568,240.0
838848,113.0
840160,175.0
853888,268.0
866016,257.0
869296,80.0
873872,109.0
894384,237.0
897264,500.0
899504,174.0
918864,109.0
920480,167.0
927792,211.0
939072,237.0
974944,121.0
987744,158.0
1009952,262.0
1025744,190.0
1069664,172.0
1077264,107.0
1084960,189.0
1096144,93.0
1105248,172.0
1108800,303.0
1109008,189.0
1115216,224.0
1120416,150.0
1126336,156.0
1130944,365.0
1131216,136.0
1135424,154.0
1142672,90.0
1158432,169.0
1165264,195.0
1186016,178.0
1194768,159.0
1238048,193.0
1250480,200.0
1269456,98.0
1279072,226.0
1298176,149.0
1299712,253.0
1311568,170.0
1331568,107.0
1332768,223.0
1333040,217.0
1366512,86.0
1369008,180.0
1377296,189.0
1381504,159.0
1436224,273.0
1440288,190.0
1446080,202.0
1450784,150.0
1456096,190.0
1491184,206.0
1495456,110.0
1502496,201.0
1518400,199.0
1523776,204.0
1538256,229.0
1547280,185.0
1548576,177.0
1554128,202.0
1569456,175.0
1593376,107.0
1593872,114.0
1594208,196.0
1602192,193.0
1604672,154.0
1616752,174.0
1617808,172.0
1626720,201.0
1667296,191.0
1679904,180.0
1689136,140.0
1699008,432.0
1716880,187.0
1736416,188.0
1742944,99.0
1744288,83.0
1750928,79.0
1764640,151.0
1773152,204.0
1780608,231.0
1787488,203.0
1791920,137.0
1806832,213.0
1807760,104.0
1808736,176.0
1810400,120.0
1822592,193.0
1826160,107.0
1828000,500.0
1840912,196.0
1855216,215.0
1858464,175.0
1872816,216.0
1873824,180.0
1905472,84.0
1908416,94.0
1917040,221.0
1933072,203.0
1934656,174.0
1959952,127.0
1962976,76.0
1971648,87.0
1977216,206.0
1977248,110.0
1982368,121.0
1987888,188.0
1988064,174.0
1989296,213.0
1996624,148.0
2007792,215.0
2010208,120.0
2016704,104.0
2033760,190.0
2036272,192.0
2037520,165.0
2038992,95.0
2065536,119.0
2068016,207.0
2074816,174.0
2081232,221.0
2089648,85.0
2089744,183.0
2103376,185.0
2105600,225.0
2108480,179.0
2127024,61.0
2137424,107.0
2143040,98.0
2174832,190.0
2185744,170.0
2205696,106.0
2212864,103.0
2225664,186.0
2226384,222.0
2234624,156.0
2255440,216.0
2268832,124.0
2301488,190.0
2318000,196.0
2326880,115.0
2327824,96.0
2332160,177.0
2344032,191.0
2369040,95.0
2380144,185.0
2383168,87.0
2388736,185.0
2394816,202.0
2411728,147.0
2415328,107.0
2423600,195.0
2430064,178.0
2433072,113.0
2434880,186.0
2437152,172.0
2443360,378.0
2452768,161.0
2461920,109.0
2464544,188.0
2470512,398.0
2476576,186.0
2476656,367.0
2478512,112.0
2486096,223.0
2489008,165.0
2493120,168.0
2509376,186.0
2513104,258.0
2523536,171.0
2525152,166.0
2550592,226.0
2560864,93.0
2562432,276.0
2562656,192.0
2597680,200.0
2610272,150.0
2610336,412.0
2612544,245.0
2622432,86.0
2634176,140.0
2673152,217.0
2673584,198.0
2674944,257.0
