step,value
1136,71.0
1168,73.0
1376,86.0
1616,101.0
1648,103.0
1696,106.0
1936,121.0
2048,128.0
2400,78.0
2704,95.0
2912,76.0
2928,79.0
3024,117.0
3312,110.0
3392,61.0
3408,91.0
3424,138.0
3904,67.0
4144,64.0
4368,58.0
4800,87.0
4912,69.0
5088,110.0
5216,79.0
5520,100.0
5648,99.0
5680,95.0
5792,103.0
5808,109.0
5936,63.0
6048,70.0
6160,111.0
6544,129.0
6704,63.0
6912,113.0
7088,97.0
7120,112.0
7248,65.0
7280,67.0
7440,79.0
7680,126.0
7840,118.0
8016,81.0
8144,93.0
8224,104.0
8448,95.0
8480,74.0
8656,103.0
8864,110.0
8944,77.0
8976,81.0
9024,96.0
9392,121.0
9440,80.0
9616,107.0
9712,82.0
9824,59.0
9920,91.0
10096,89.0
10272,111.0
10336,84.0
10480,140.0
10608,61.0
10704,68.0
10848,116.0
10896,93.0
10912,78.0
11056,110.0
11520,99.0
11808,80.0
11840,108.0
12240,95.0
12304,126.0
12352,108.0
12448,122.0
12480,98.0
12592,102.0
12896,85.0
13008,72.0
13104,114.0
13312,96.0
13392,104.0
13536,80.0
13552,88.0
13824,125.0
13968,100.0
14128,104.0
14224,101.0
14320,81.0
14496,86.0
14512,93.0
14512,69.0
14624,67.0
14672,85.0
14848,95.0
14912,101.0
15488,72.0
15520,79.0
15584,67.0
15728,117.0
15856,83.0
15872,88.0
16064,71.0
16208,98.0
16240,87.0
16416,57.0
17008,58.0
17120,86.0
17664,124.0
17680,75.0
18144,107.0
18208,125.0
18288,79.0
18560,89.0
18576,93.0
18736,65.0
18816,68.0
19184,64.0
19440,80.0
19472,100.0
19824,100.0
19840,96.0
19936,70.0
20128,81.0
20288,107.0
20464,63.0
20656,87.0
20736,114.0
20768,126.0
20816,83.0
21008,113.0
21088,71.0
21120,79.0
21264,118.0
21440,100.0
21808,94.0
21824,105.0
21920,73.0
22240,109.0
22384,69.0
22464,125.0
22576,119.0
22704,78.0
22928,69.0
23088,72.0
23120,124.0
23392,59.0
23472,73.0
23504,64.0
23552,103.0
23552,60.0
23968,109.0
24256,125.0
24288,98.0
24352,68.0
24384,115.0
24688,70.0
24848,83.0
24896,85.0
24912,58.0
24992,116.0
25008,100.0
25072,94.0
25472,67.0
25680,137.0
25888,104.0
26144,70.0
26544,105.0
26560,95.0
26672,110.0
26688,124.0
26688,75.0
26768,154.0
26832,114.0
27008,69.0
27360,111.0
27360,75.0
27408,107.0
27680,70.0
28048,64.0
28176,92.0
28240,96.0
28384,100.0
28528,69.0
28608,77.0
28640,121.0
28720,106.0
29280,76.0
29344,103.0
29616,60.0
29696,94.0
30000,100.0
30032,76.0
30112,104.0
30160,73.0
30160,117.0
30304,105.0
30704,135.0
30816,88.0
30816,69.0
31104,111.0
31264,58.0
31328,80.0
31408,68.0
31648,94.0
31664,103.0
31776,103.0
31808,102.0
31856,64.0
31968,71.0
32112,63.0
32112,62.0
32208,76.0
32288,98.0
32544,78.0
32704,80.0
32816,82.0
32864,67.0
32976,106.0
33072,78.0
33184,66.0
33248,119.0
33360,66.0
33616,109.0
34512,102.0
34640,73.0
34720,116.0
34784,72.0
34816,124.0
34976,100.0
35472,85.0
35520,64.0
35552,79.0
35808,93.0
35984,74.0
36128,78.0
36416,110.0
36528,107.0
36640,69.0
36720,75.0
37136,65.0
37312,73.0
37376,113.0
37600,68.0
37648,58.0
37648,90.0
37696,70.0
37696,60.0
37968,82.0
38448,119.0
38544,76.0
38736,108.0
38816,85.0
38832,1000.0
38992,83.0
39008,98.0
39264,105.0
39360,109.0
39456,109.0
39760,134.0
39872,70.0
40064,94.0
40176,107.0
40208,86.0
40336,93.0
40368,85.0
40544,105.0
40640,100.0
40720,90.0
40864,61.0
41120,65.0
41232,65.0
41536,135.0
41552,111.0
41680,81.0
41776,97.0
42016,71.0
42144,93.0
42336,68.0
42384,127.0
42736,65.0
42800,78.0
42976,141.0
43216,68.0
43408,86.0
43408,63.0
43472,105.0
43648,81.0
44160,82.0
44400,93.0
44544,113.0
44608,105.0
44816,125.0
45136,92.0
45200,64.0
45296,57.0
45424,117.0
45520,71.0
45616,123.0
45664,78.0
45936,71.0
46240,101.0
46560,97.0
46784,122.0
46864,113.0
46976,64.0
47248,64.0
47312,117.0
47616,85.0
47904,139.0
48096,69.0
48144,84.0
48192,113.0
48336,68.0
48400,97.0
48512,102.0
48960,69.0
49328,76.0
49568,88.0
49568,93.0
49792,79.0
49824,119.0
50112,106.0
50144,112.0
50176,97.0
50240,127.0
50560,97.0
50832,102.0
50992,103.0
51328,80.0
51408,114.0
51440,82.0
51488,135.0
51648,113.0
51760,100.0
52176,83.0
52368,111.0
52448,117.0
52640,67.0
52768,62.0
53168,104.0
53248,82.0
53616,90.0
53696,82.0
53760,81.0
53792,156.0
53888,80.0
53904,78.0
53920,83.0
53984,75.0
53984,1000.0
54144,60.0
54160,123.0
54464,63.0
54480,124.0
54512,120.0
54896,62.0
55040,79.0
