step,value
32768,434.0
65536,437.0
98304,437.0
131072,438.0
163840,439.0
196608,439.0
229376,439.0
262144,439.0
294912,439.0
327680,439.0
360448,439.0
393216,439.0
425984,439.0
458752,439.0
491520,439.0
524288,439.0
557056,439.0
589824,439.0
622592,439.0
655360,438.0
688128,438.0
720896,438.0
753664,438.0
786432,438.0
819200,438.0
851968,438.0
884736,438.0
917504,438.0
950272,438.0
983040,438.0
1015808,438.0
1048576,438.0
1081344,438.0
1114112,438.0
1146880,438.0
1179648,438.0
1212416,439.0
1245184,439.0
1277952,439.0
1310720,439.0
1343488,439.0
1376256,439.0
1409024,439.0
1441792,439.0
1474560,439.0
1507328,439.0
1540096,439.0
1572864,439.0
1605632,439.0
1638400,439.0
1671168,439.0
1703936,439.0
1736704,439.0
1769472,439.0
1802240,439.0
1835008,439.0
1867776,439.0
1900544,439.0
1933312,439.0
1966080,439.0
1998848,439.0
2031616,439.0
2064384,439.0
2097152,439.0
2129920,439.0
2162688,439.0
2195456,439.0
2228224,439.0
2260992,439.0
2293760,439.0
2326528,439.0
2359296,439.0
2392064,440.0
2424832,440.0
2457600,440.0
2490368,440.0
2523136,440.0
2555904,440.0
2588672,440.0
2621440,440.0
2654208,440.0
2686976,440.0
2719744,440.0
2752512,440.0
2785280,440.0
2818048,440.0
2850816,440.0
2883584,440.0
2916352,440.0
2949120,441.0
2981888,441.0
3014656,441.0
3047424,440.0
3080192,441.0
3112960,440.0
3145728,440.0
3178496,440.0
3211264,440.0
3244032,440.0
3276800,441.0
3309568,441.0
3342336,441.0
3375104,441.0
3407872,441.0
3440640,441.0
3473408,441.0
3506176,441.0
3538944,441.0
3571712,441.0
3604480,441.0
3637248,441.0
3670016,441.0
3702784,441.0
3735552,441.0
3768320,441.0
3801088,441.0
3833856,441.0
3866624,441.0
3899392,441.0
3932160,441.0
3964928,441.0
3997696,441.0
4030464,441.0
4063232,441.0
4096000,441.0
4128768,441.0
4161536,441.0
4194304,441.0
4227072,441.0
4259840,441.0
4292608,441.0
4325376,441.0
4358144,441.0
4390912,441.0
4423680,441.0
4456448,441.0
4489216,441.0
4521984,441.0
4554752,441.0
4587520,441.0
4620288,441.0
4653056,441.0
4685824,441.0
4718592,441.0
4751360,441.0
4784128,441.0
4816896,441.0
4849664,441.0
4882432,441.0
4915200,441.0
4947968,441.0
4980736,441.0
5013504,441.0
5046272,441.0
5079040,441.0
5111808,441.0
5144576,441.0
5177344,441.0
5210112,441.0
5242880,441.0
5275648,441.0
5308416,440.0
5341184,440.0
5373952,440.0
5406720,440.0
5439488,440.0
5472256,440.0
5505024,440.0
5537792,440.0
5570560,440.0
5603328,440.0
5636096,440.0
5668864,440.0
5701632,440.0
5734400,440.0
5767168,440.0
5799936,440.0
5832704,440.0
5865472,440.0
5898240,440.0
5931008,440.0
5963776,440.0
5996544,440.0
6029312,440.0
6062080,440.0
6094848,440.0
6127616,440.0
6160384,440.0
6193152,440.0
6225920,440.0
6258688,440.0
6291456,440.0
6324224,440.0
6356992,440.0
6389760,440.0
6422528,440.0
6455296,440.0
6488064,440.0
6520832,440.0
6553600,440.0
6586368,440.0
6619136,440.0
6651904,440.0
6684672,440.0
6717440,440.0
6750208,440.0
6782976,440.0
6815744,440.0
6848512,440.0
6881280,440.0
6914048,440.0
6946816,440.0
6979584,440.0
7012352,440.0
7045120,440.0
7077888,440.0
7110656,440.0
7143424,440.0
7176192,440.0
7208960,440.0
7241728,440.0
7274496,440.0
7307264,440.0
7340032,440.0
7372800,440.0
7405568,440.0
7438336,440.0
7471104,440.0
7503872,440.0
7536640,440.0
7569408,440.0
7602176,440.0
7634944,440.0
7667712,440.0
7700480,440.0
7733248,440.0
7766016,440.0
7798784,440.0
7831552,440.0
7864320,440.0
7897088,440.0
7929856,440.0
7962624,440.0
7995392,440.0
8028160,440.0
8060928,440.0
8093696,440.0
8126464,440.0
8159232,440.0
8192000,440.0
8224768,440.0
8257536,440.0
8290304,440.0
8323072,440.0
8355840,440.0
8388608,440.0
8421376,440.0
8454144,440.0
8486912,440.0
8519680,440.0
8552448,440.0
8585216,440.0
8617984,440.0
8650752,440.0
8683520,440.0
8716288,440.0
8749056,440.0
8781824,440.0
8814592,440.0
8847360,440.0
8880128,440.0
8912896,440.0
8945664,440.0
8978432,440.0
9011200,440.0
9043968,440.0
9076736,440.0
9109504,440.0
9142272,440.0
9175040,440.0
9207808,440.0
9240576,440.0
9273344,440.0
9306112,440.0
9338880,440.0
9371648,440.0
9404416,440.0
9437184,440.0
9469952,439.0
9502720,439.0
9535488,440.0
9568256,439.0
9601024,439.0
9633792,439.0
9666560,439.0
9699328,438.0
9732096,439.0
9764864,439.0
9797632,439.0
9830400,439.0
9863168,439.0
9895936,438.0
9928704,437.0
9961472,435.0
9994240,433.0
