step,value
2112,66.0
2272,71.0
2720,85.0
2784,87.0
3808,119.0
4128,129.0
4480,75.0
4864,64.0
5216,80.0
5312,52.0
5440,84.0
6656,67.0
7392,231.0
8224,103.0
8480,109.0
8896,63.0
9344,54.0
9504,61.0
9696,82.0
10272,63.0
10528,97.0
11584,76.0
11648,57.0
11680,61.0
12000,72.0
12960,75.0
13472,67.0
14016,107.0
14176,73.0
14368,86.0
14560,63.0
14848,77.0
14912,68.0
15712,68.0
16416,63.0
16736,79.0
16832,75.0
17184,131.0
17376,51.0
17760,116.0
19040,61.0
19072,82.0
19520,72.0
20128,82.0
21024,60.0
21248,233.0
21728,56.0
21856,58.0
22080,60.0
22176,61.0
23104,73.0
23520,145.0
24672,60.0
25088,54.0
25312,58.0
26848,67.0
27296,87.0
27680,139.0
28672,108.0
29056,68.0
30784,76.0
31008,78.0
31648,80.0
31680,164.0
32064,86.0
32224,86.0
32320,62.0
33280,97.0
34304,164.0
34624,86.0
35072,124.0
35328,70.0
35584,63.0
35680,91.0
36928,85.0
37632,58.0
38656,80.0
38848,98.0
39008,148.0
39232,107.0
39520,87.0
40256,180.0
40768,53.0
41440,57.0
42176,61.0
42656,71.0
43968,185.0
44160,70.0
45408,64.0
46176,62.0
46496,76.0
46688,67.0
47104,52.0
48352,60.0
49056,117.0
49376,70.0
49632,59.0
50496,144.0
51200,140.0
51232,84.0
51776,88.0
52640,101.0
53280,54.0
53728,62.0
54368,65.0
54496,66.0
55680,65.0
56320,159.0
56384,87.0
57216,84.0
57280,63.0
57280,68.0
57920,132.0
58496,401.0
59520,50.0
60480,68.0
61120,99.0
61280,59.0
61504,81.0
61664,74.0
62368,88.0
62464,134.0
62560,214.0
64384,72.0
65632,73.0
65856,53.0
65920,68.0
67616,132.0
67968,58.0
68160,52.0
68640,145.0
69984,62.0
70784,62.0
70976,133.0
71648,69.0
71968,142.0
72352,76.0
73120,103.0
73248,101.0
73312,70.0
73312,190.0
74368,74.0
76000,114.0
76608,91.0
77600,70.0
77728,152.0
78784,76.0
79104,123.0
79520,67.0
80128,466.0
80288,82.0
80448,52.0
81504,61.0
81600,120.0
82240,60.0
82720,118.0
82912,76.0
83520,62.0
83520,74.0
84416,87.0
84800,73.0
85440,71.0
85696,61.0
85856,53.0
86656,65.0
86944,52.0
88384,62.0
88672,89.0
89120,68.0
89408,72.0
90016,78.0
92224,54.0
93952,78.0
93984,73.0
95328,148.0
95808,127.0
97024,50.0
97856,78.0
98432,89.0
98560,142.0
100352,76.0
100480,112.0
101088,68.0
101536,87.0
102336,139.0
102336,80.0
102912,56.0
103136,53.0
103712,63.0
103904,60.0
103968,72.0
104064,84.0
104448,87.0
105152,112.0
105248,72.0
107392,468.0
107872,50.0
108736,53.0
110016,80.0
111136,71.0
112320,80.0
113408,55.0
113696,62.0
115168,57.0
115808,77.0
116064,374.0
116416,232.0
117664,96.0
118592,69.0
120384,117.0
120480,93.0
122656,57.0
122880,90.0
123488,67.0
123936,132.0
125824,85.0
126208,54.0
126624,62.0
126688,91.0
126784,70.0
127296,70.0
127520,183.0
128736,423.0
128864,67.0
129376,64.0
129728,94.0
130720,63.0
132512,75.0
132864,67.0
133536,81.0
133824,81.0
133824,117.0
134368,57.0
134624,166.0
134688,80.0
135168,123.0
135840,129.0
136800,78.0
137440,56.0
137696,52.0
139584,141.0
139936,59.0
140832,176.0
141184,58.0
141568,265.0
141632,63.0
141760,126.0
142048,55.0
142368,69.0
142848,168.0
143520,196.0
143936,87.0
145280,298.0
145632,95.0
145760,115.0
145792,65.0
147648,301.0
148256,117.0
149568,81.0
149952,82.0
150208,60.0
150880,110.0
151168,79.0
151200,70.0
151232,75.0
152032,60.0
152096,57.0
152416,68.0
153184,141.0
153792,62.0
154208,56.0
154400,168.0
154944,115.0
155328,76.0
155488,90.0
155744,115.0
156160,58.0
156192,64.0
156192,155.0
156608,67.0
157056,74.0
157856,52.0
158592,54.0
159616,132.0
159712,84.0
160256,74.0
160288,118.0
161024,100.0
161472,84.0
161504,165.0
162176,76.0
162432,121.0
162912,70.0
163360,51.0
163456,61.0
163456,139.0
164672,54.0
166720,55.0
167904,58.0
167904,59.0
168096,85.0
168576,68.0
168928,68.0
169024,86.0
169376,79.0
169472,162.0
169632,63.0
169728,54.0
171200,96.0
171232,148.0
171872,75.0
171904,53.0
171968,74.0
172288,79.0
172992,201.0
173760,74.0
174144,140.0
174880,180.0
176288,59.0
176416,244.0
176576,59.0
178016,102.0
179328,89.0
179776,89.0
180256,65.0
181536,101.0
181664,167.0
181856,78.0
184096,155.0
184608,82.0
184640,108.0
185664,69.0
185760,131.0
186592,261.0
187040,97.0
187424,84.0
188544,107.0
189696,210.0
189920,162.0
190272,85.0
190432,76.0
191776,72.0
192736,79.0
193600,71.0
193728,88.0
194080,163.0
194400,217.0
194464,83.0
194560,66.0
195488,95.0
195744,62.0
196128,51.0
196352,70.0
197120,50.0
197664,63.0
198304,70.0
198400,176.0
198432,120.0
199296,105.0
199968,64.0
200832,77.0
201248,271.0
202880,139.0
203712,96.0
203872,127.0
204096,58.0
204384,68.0
204448,70.0
205920,51.0
206688,181.0
207072,102.0
207616,153.0
208640,121.0
210464,74.0
212384,84.0
213216,146.0
214080,53.0
217856,95.0
218720,71.0
219488,79.0
219520,125.0
220000,58.0
220704,51.0
