step,value
2112,-455.47808837890625
2272,-417.7825012207031
2720,-665.418212890625
2784,-128.3503875732422
3808,-163.891357421875
4128,-129.1820831298828
4480,-655.7694702148438
4864,-514.4714965820312
5216,-519.6919555664062
5312,-346.0536804199219
5440,-289.23443603515625
6656,-546.1737670898438
7392,-390.6294860839844
8224,-287.0594177246094
8480,-230.0331573486328
8896,-407.70489501953125
9344,-224.6477508544922
9504,-475.61163330078125
9696,-196.02479553222656
10272,-544.9192504882812
10528,-366.6307678222656
11584,-430.8996887207031
11648,-222.71136474609375
11680,-425.9623718261719
12000,-469.6297302246094
12960,-218.6884307861328
13472,-214.95281982421875
14016,-134.7860565185547
14176,-654.2017211914062
14368,-470.0981750488281
14560,-446.2328186035156
14848,-180.80404663085938
14912,-241.9977569580078
15712,-601.7095336914062
16416,-208.449951171875
16736,-162.26141357421875
16832,-213.83401489257812
17184,-401.4117431640625
17376,-348.0288391113281
17760,-132.9846649169922
19040,-464.94244384765625
19072,-142.10638427734375
19520,-639.3677978515625
20128,-598.2655029296875
21024,-476.4411315917969
21248,-632.7958374023438
21728,-212.8132781982422
21856,-353.3603820800781
22080,-473.0837097167969
22176,-520.8777465820312
23104,-731.9451293945312
23520,-435.4971923828125
24672,-502.8095397949219
25088,-211.1350860595703
25312,-253.2669677734375
26848,-480.1860656738281
27296,-183.91758728027344
27680,-142.43128967285156
28672,-220.69288635253906
29056,-215.83033752441406
30784,-206.66200256347656
31008,-192.18594360351562
31648,-413.19195556640625
31680,-245.66607666015625
32064,-431.2206115722656
32224,-241.3270263671875
32320,-282.8487548828125
33280,-154.91146850585938
34304,-158.750244140625
34624,-147.81825256347656
35072,-405.0257873535156
35328,-180.0357208251953
35584,-518.4830932617188
35680,-431.04595947265625
36928,-207.97828674316406
37632,-261.38311767578125
38656,-387.78997802734375
38848,-425.6435241699219
39008,-183.33212280273438
39232,-182.49497985839844
39520,-177.2516326904297
40256,-134.8474884033203
40768,-207.6961669921875
41440,-205.29739379882812
42176,-460.8269958496094
42656,-214.60305786132812
43968,-213.33413696289062
44160,-623.486328125
45408,-197.49021911621094
46176,-456.0026550292969
46496,-526.460693359375
46688,-345.8138732910156
47104,-330.9130859375
48352,-449.42926025390625
49056,-185.9449005126953
49376,-171.07298278808594
49632,-492.992919921875
50496,-526.904052734375
51200,-146.8223876953125
51232,-314.1431884765625
51776,-570.0580444335938
52640,-464.77459716796875
53280,-224.84002685546875
53728,-472.7462158203125
54368,-463.9517517089844
54496,-331.0194396972656
55680,-273.0601806640625
56320,-112.60372161865234
56384,-127.48931884765625
57216,-254.5108642578125
57280,-453.0226745605469
57280,-443.8182067871094
57920,-245.594482421875
58496,-463.7481994628906
59520,-349.6048583984375
60480,-549.3524780273438
61120,-225.18255615234375
61280,-413.5760803222656
61504,-555.0032348632812
61664,-260.609375
62368,-129.9429931640625
62464,-366.9477233886719
62560,-538.2738647460938
64384,-506.16485595703125
65632,-472.9585876464844
65856,-375.4696960449219
65920,-446.4462890625
67616,-188.05096435546875
67968,-373.4110107421875
68160,-353.9374084472656
68640,-392.0622863769531
69984,-253.53115844726562
70784,-499.4502868652344
70976,-313.3227844238281
71648,-576.648681640625
71968,-478.3633728027344
72352,-621.451904296875
73120,-455.0487365722656
73248,-136.24559020996094
73312,-374.6788330078125
73312,-380.8464660644531
74368,-467.65435791015625
76000,-501.50677490234375
76608,-172.28887939453125
77600,-207.7957763671875
77728,-446.3397216796875
78784,-635.5110473632812
79104,-136.63003540039062
79520,-547.95654296875
80128,40.93413162231445
80288,-264.775634765625
80448,-204.84632873535156
81504,-479.3536682128906
81600,-149.30502319335938
82240,-470.7502136230469
82720,-425.020751953125
82912,-545.9005126953125
83520,-236.8548583984375
83520,-162.67837524414062
84416,-296.0289001464844
84800,-201.82073974609375
85440,-320.1578674316406
85696,-403.48150634765625
85856,-369.5743408203125
86656,-534.2762451171875
86944,-367.1403503417969
88384,-345.6234436035156
88672,-419.8068542480469
89120,-578.29248046875
89408,-516.1092529296875
90016,-534.5056762695312
92224,-411.9892578125
93952,-543.5639038085938
93984,-338.0842590332031
95328,-513.3661499023438
95808,-267.15435791015625
97024,-398.8645935058594
97856,-468.8049011230469
98432,-193.1725616455078
98560,-269.9281311035156
100352,-632.9813232421875
100480,-236.5778350830078
101088,-574.1347045898438
101536,-462.85455322265625
102336,-259.75042724609375
102336,-168.1517791748047
102912,-414.9485778808594
103136,-207.94036865234375
103712,-207.5123291015625
103904,-252.3106231689453
103968,-638.240966796875
104064,-375.3038635253906
104448,-143.54783630371094
105152,-264.11419677734375
105248,-259.64947509765625
107392,59.34996032714844
107872,-309.2858581542969
108736,-359.6418151855469
110016,-452.64410400390625
111136,-510.8008728027344
112320,-535.4303588867188
113408,-411.89892578125
113696,-386.3675537109375
115168,-476.1210632324219
115808,-182.5071258544922
116064,71.96668243408203
116416,-332.5928955078125
117664,-159.99244689941406
118592,-596.6161499023438
120384,-299.2953186035156
120480,-409.44012451171875
122656,-405.1998596191406
122880,-433.71685791015625
123488,-395.45489501953125
123936,-355.1248474121094
125824,-195.32473754882812
126208,-363.7013854980469
126624,-231.27488708496094
126688,-396.1626892089844
126784,-614.4391479492188
127296,-445.4042053222656
127520,-657.1064453125
128736,-363.2886047363281
128864,-478.2730407714844
129376,-515.9458618164062
129728,-167.5760040283203
130720,-475.5231018066406
132512,-360.293212890625
132864,-440.3193359375
133536,-669.6438598632812
133824,-652.4947509765625
133824,-351.1396789550781
134368,-222.94395446777344
134624,-370.229736328125
134688,-505.1888732910156
135168,-416.5020446777344
135840,-429.26251220703125
136800,-445.12762451171875
137440,-249.4927520751953
137696,-210.0318603515625
139584,-315.84356689453125
139936,-232.78689575195312
