step,value
544,2.0
768,2.0
1824,1.9375
2144,1.9375
2336,1.9375
2624,1.9375
4576,1.9375
4672,2.0
4864,2.0
5632,2.0
6048,2.0
7296,1.9375
8096,2.0
9792,2.0
10400,1.9375
12064,2.0
12128,2.0
16736,2.0
16864,1.9375
16992,2.0
18080,2.0
18912,2.0
19424,1.9375
19712,2.0
20896,2.0
20928,2.0
21344,1.9375
22720,2.0
24256,2.0
24320,1.9375
24512,1.9375
25152,2.0
26176,2.0
26560,2.0
27008,2.0
27136,2.0
27200,2.0
27360,1.9375
28096,1.9375
28320,2.0
29504,2.0
31488,2.0
33312,1.9375
33856,2.0
34976,2.0
36160,2.0
37728,2.0
39136,1.9375
39616,1.9375
43328,1.9375
44544,1.9375
45152,1.9375
47488,2.0
48672,2.0
49920,2.0
50496,2.0
52128,2.0
52320,2.0
54112,1.9375
54336,1.9375
54560,1.9375
56672,2.0
59680,1.9375
59776,2.0
60864,2.0
61376,2.0
61568,2.0
61664,2.0
64960,1.9375
66080,2.0
67776,1.9375
67968,2.0
68928,2.0
69440,1.9375
71616,1.9375
72832,2.0
75040,1.9375
76448,1.9375
76512,2.0
77632,1.9375
79232,2.0
80096,2.0
80480,1.875
80960,2.0
81536,1.9375
82752,1.9375
83264,2.0
83328,1.9375
84128,2.0
86528,2.0
88032,2.0
88448,2.0
89632,1.9375
91552,2.0
91616,2.0
96192,2.0
96288,2.0
100096,2.0
100640,2.0
101152,2.0
101344,2.0
102016,1.875
105888,1.9375
106528,2.0
106720,2.0
106976,2.0
107872,2.0
108224,2.0
108768,1.8125
109376,2.0
109952,1.9375
110848,2.0
111712,1.9375
113024,2.0
113280,2.0
113312,2.0
113408,2.0
114016,1.9375
115328,2.0
116480,1.9375
116672,2.0
117248,2.0
117696,1.9375
118432,2.0
118528,1.875
118784,2.0
118912,2.0
119040,2.0
119680,1.9375
121280,2.0
122016,1.9375
125568,2.0
126272,2.0
127392,2.0
127936,2.0
129600,2.0
129888,2.0
129952,2.0
130560,2.0
131648,1.9375
132416,1.9375
132928,2.0
133568,1.875
134016,2.0
134592,1.9375
135744,1.9375
136096,2.0
136256,2.0
136544,2.0
140096,2.0
140960,2.0
143712,1.9375
144896,2.0
144960,1.9375
145600,2.0
146656,2.0
148832,1.9375
150528,1.9375
151712,2.0
151840,2.0
152032,2.0
152640,2.0
152928,1.9375
153088,2.0
154656,2.0
155264,2.0
155360,1.9375
156640,1.9375
157344,2.0
158112,2.0
161472,2.0
162720,2.0
163424,1.9375
165632,2.0
166752,1.8125
168672,2.0
168768,2.0
170016,2.0
170240,2.0
172032,2.0
172544,2.0
174048,2.0
174112,2.0
175840,2.0
177600,2.0
179584,2.0
180224,2.0
180544,1.9375
181792,2.0
183712,2.0
184160,2.0
185376,2.0
186048,2.0
186176,2.0
186688,2.0
187872,2.0
188576,1.875
189888,2.0
190016,1.875
190880,1.9375
191392,1.9375
192128,2.0
193728,1.9375
194656,2.0
195168,2.0
195360,2.0
195904,2.0
196384,1.9375
196544,2.0
196864,2.0
198848,2.0
198912,1.9375
200032,2.0
200288,2.0
200672,2.0
201664,2.0
201888,1.9375
203392,1.9375
204064,2.0
205120,2.0
209216,2.0
209312,1.9375
211520,2.0
214816,1.9375
215136,1.9375
218048,2.0
219040,2.0
220704,2.0
222848,2.0
224960,2.0
225184,2.0
226624,2.0
228000,1.8125
229824,1.9375
231616,2.0
232096,2.0
232128,2.0
233152,2.0
234112,1.9375
235264,2.0
236000,2.0
236128,2.0
236864,1.9375
238048,2.0
238112,2.0
240416,1.9375
240608,2.0
240864,1.9375
242048,1.9375
242656,2.0
243680,1.9375
243840,1.9375
245632,2.0
247104,1.9375
247264,2.0
248288,2.0
249216,2.0
251488,2.0
254304,2.0
256288,1.9375
258112,2.0
258496,2.0
259488,2.0
259520,1.9375
260096,2.0
261152,2.0
263552,2.0
264160,1.9375
264512,2.0
264896,2.0
265216,1.9375
265504,2.0
265536,2.0
266464,1.9375
268416,2.0
268960,2.0
269184,2.0
269696,2.0
269824,2.0
269920,1.875
272256,2.0
273408,2.0
274368,2.0
275584,2.0
275680,1.9375
276000,2.0
277312,2.0
278112,2.0
282208,1.9375
284320,2.0
284864,1.9375
287456,1.9375
288096,2.0
289088,2.0
289952,2.0
290912,1.875
292672,2.0
296640,2.0
297440,2.0
298080,2.0
298560,1.9375
301280,2.0
302272,2.0
304480,1.9375
304768,2.0
306368,2.0
306720,1.9375
307712,2.0
310368,1.875
312576,1.9375
312736,2.0
313952,2.0
314464,1.875
314592,2.0
314624,2.0
315392,1.9375
316128,1.9375
316608,2.0
318720,2.0
318752,2.0
318848,1.9375
320640,2.0
321824,2.0
322944,2.0
324352,1.875
326144,2.0
327840,2.0
328320,2.0
329952,2.0
331520,1.9375
332512,2.0
332960,2.0
333216,2.0
333728,2.0
336256,2.0
337440,2.0
338880,2.0
339872,1.9375
340384,2.0
341056,2.0
341120,2.0
341280,2.0
342560,1.9375
344768,2.0
345152,2.0
346688,1.9375
348064,2.0
349312,2.0
350176,2.0
352640,2.0
352672,2.0
352736,2.0
352960,2.0
353152,2.0
353408,1.9375
355616,2.0
356256,2.0
356576,2.0
356608,2.0
358880,1.9375
358944,2.0
359360,1.875
361536,2.0
361984,1.9375
362176,2.0
364064,1.9375
364704,2.0
364928,1.9375
366080,2.0
366272,1.9375
366656,2.0
369312,2.0
370816,2.0
371328,2.0
372768,2.0
372960,2.0
375744,2.0
375904,1.9375
376160,2.0
376448,2.0
378272,2.0
380000,2.0
380928,2.0
381408,2.0
382528,2.0
383040,1.9375
384032,2.0
384064,1.9375
384640,2.0
384928,2.0
385952,2.0
385984,2.0
386240,2.0
386368,2.0
387584,2.0
389568,2.0
390112,1.9375
391392,1.875
392064,2.0
394368,1.9375
394816,2.0
395040,2.0
395328,2.0
396096,2.0
398176,2.0
399392,2.0
399968,2.0
400224,2.0
400608,2.0
401728,1.875
402336,2.0
403040,1.9375
404512,2.0
404544,2.0
406816,1.9375
407136,2.0
407648,2.0
408992,2.0
410976,2.0
412928,2.0
413120,2.0
413312,2.0
413376,2.0
413920,2.0
415072,2.0
420000,2.0
421984,2.0
424096,2.0
424256,2.0
424928,2.0
425152,2.0
425536,2.0
426944,2.0
429216,2.0
429312,2.0
429888,2.0
430176,2.0
430752,1.9375
433376,2.0
434368,2.0
435264,2.0
436800,2.0
437728,2.0
438400,2.0
441504,2.0
442208,2.0
444128,2.0
445152,2.0
446784,2.0
446976,1.9375
447776,1.9375
449216,2.0
449856,2.0
451392,2.0
454272,2.0
454368,2.0
456256,2.0
456832,2.0
457888,2.0
457920,2.0
458976,2.0
459584,2.0
460928,2.0
461920,2.0
462496,2.0
463936,2.0
465056,2.0
465568,2.0
465760,2.0
466208,2.0
467296,2.0
469056,2.0
469216,2.0
470720,2.0
471232,2.0
472256,2.0
473216,2.0
473312,2.0
473344,2.0
473728,1.9375
475008,2.0
475584,2.0
476256,1.9375
476480,2.0
478208,1.9375
478912,2.0
479456,2.0
481376,2.0
481536,2.0
483488,2.0
485120,2.0
485920,2.0
487872,2.0
488096,2.0
488128,2.0
489248,1.875
492896,2.0
493280,2.0
494400,2.0
496384,2.0
496416,2.0
496832,2.0
498656,1.9375
500608,2.0
502752,2.0
507392,1.9375
507488,2.0
507744,2.0
508416,2.0
508736,1.9375
509120,2.0
509216,2.0
509632,2.0
510432,2.0
514048,2.0
514848,2.0
514976,1.9375
515552,2.0
516416,2.0
517024,2.0
518272,1.9375
518464,2.0
518528,2.0
518624,1.9375
519008,2.0
519872,2.0
521120,2.0
525216,2.0
526656,1.9375
527488,2.0
527648,2.0
527808,2.0
528480,1.9375
529920,2.0
530432,2.0
532384,2.0
533376,2.0
534752,2.0
534944,2.0
536352,2.0
536704,2.0
536992,2.0
537664,2.0
537984,2.0
538016,2.0
538976,1.9375
539520,2.0
539616,1.9375
539904,2.0
541152,2.0
541408,2.0
543040,2.0
546624,1.9375
547104,2.0
547680,2.0
549376,2.0
549440,2.0
549504,2.0
550336,1.875
552544,2.0
553152,1.9375
554816,1.9375
555776,2.0
556800,2.0
557344,2.0
559296,2.0
562240,1.875
562432,2.0
562752,1.9375
563072,2.0
564160,1.9375
564960,2.0
565728,2.0
566048,1.9375
566112,2.0
568128,2.0
569088,2.0
569376,2.0
570368,2.0
570624,2.0
571232,2.0
571776,2.0
571872,2.0
572032,2.0
573024,2.0
574976,2.0
575104,2.0
576224,1.875
576384,2.0
577920,1.9375
579456,2.0
579776,2.0
580896,2.0
582368,1.9375
582880,2.0
583712,2.0
584544,1.9375
585312,2.0
585888,2.0
588064,2.0
588480,2.0
588736,2.0
588768,2.0
589504,2.0
592160,2.0
597280,2.0
597472,2.0
597760,1.9375
598816,2.0
599808,2.0
601056,2.0
602176,2.0
602368,1.9375
602464,2.0
604672,2.0
609248,2.0
610016,2.0
610368,2.0
610688,1.9375
610816,2.0
611776,2.0
618176,2.0
620128,2.0
620384,2.0
622112,1.9375
622144,2.0
623456,2.0
624832,2.0
624960,1.9375
625120,1.9375
625184,2.0
625216,2.0
625952,2.0
626016,1.9375
627296,2.0
629184,2.0
629472,2.0
630496,2.0
630688,2.0
630976,2.0
632096,1.9375
632160,2.0
632512,2.0
632544,2.0
632608,2.0
636000,2.0
638016,1.9375
638208,2.0
638656,2.0
640672,2.0
640704,1.9375
640736,2.0
641088,2.0
641408,2.0
642048,2.0
642464,2.0
643136,1.9375
643840,2.0
644128,1.9375
645120,2.0
645344,2.0
645472,1.875
647104,2.0
647136,2.0
647520,2.0
647616,1.9375
648896,2.0
649536,2.0
650560,2.0
651072,2.0
652544,1.9375
654336,2.0
656000,2.0
657280,1.9375
659776,2.0
660320,1.9375
660928,2.0
661280,2.0
662528,2.0
662784,1.9375
663776,2.0
663936,2.0
666144,1.9375
666272,2.0
667296,2.0
672320,2.0
672864,2.0
674496,2.0
674944,2.0
675520,2.0
676288,2.0
677568,1.9375
678464,2.0
679680,2.0
680224,2.0
680992,2.0
681280,2.0
681664,2.0
683136,1.9375
683584,1.9375
683680,2.0
685248,1.9375
685568,2.0
686976,1.9375
689536,2.0
690144,2.0
691168,2.0
692064,2.0
693408,2.0
693664,1.9375
693856,2.0
693952,1.9375
694272,2.0
694944,2.0
695488,2.0
695616,2.0
695936,2.0
696128,2.0
696672,2.0
701152,2.0
701184,2.0
701312,1.875
701344,1.9375
701792,2.0
702912,2.0
702944,1.9375
703296,2.0
703424,1.9375
704064,2.0
707328,2.0
709024,1.875
709632,2.0
711328,2.0
713440,2.0
715168,2.0
716000,2.0
720256,2.0
720768,2.0
721088,2.0
721728,1.9375
722304,2.0
722880,2.0
723840,2.0
724064,1.9375
724384,2.0
724576,2.0
724864,2.0
724960,2.0
725184,2.0
725504,2.0
727136,2.0
727808,2.0
729088,2.0
729184,2.0
730816,1.875
732256,1.9375
732640,2.0
732832,2.0
733504,2.0
733728,2.0
733984,2.0
735040,2.0
735936,1.875
736736,2.0
739744,2.0
741728,2.0
743264,2.0
743616,2.0
746176,2.0
747264,2.0
747488,2.0
747648,2.0
748224,2.0
749664,2.0
749856,2.0
750944,2.0
751360,2.0
751840,2.0
752992,2.0
754464,1.9375
758400,2.0
758976,2.0
759296,2.0
759520,2.0
761248,2.0
761760,2.0
762304,2.0
764160,2.0
765568,2.0
765760,2.0
766048,2.0
768224,2.0
771872,2.0
772448,2.0
773024,2.0
773280,2.0
775232,2.0
777472,1.9375
778592,2.0
779488,2.0
779520,2.0
783392,2.0
783520,2.0
784480,1.9375
784672,2.0
784864,2.0
784960,1.9375
787712,1.9375
789312,2.0
791360,1.9375
791552,2.0
