Wall time,Step,Value
1779312319.5091207,6816,-495.0928955078125
1779312319.7158885,7296,-339.0470886230469
1779312320.8763871,9920,-171.11439514160156
1779312322.3078928,13312,-118.84414672851562
1779312323.3590934,15744,-705.74072265625
1779312323.8292449,16832,-389.2181701660156
1779312325.3380747,20384,-205.97552490234375
1779312325.7411838,21280,-334.4110412597656
1779312326.7717886,23712,-470.8997497558594
1779312327.199075,24704,-390.09844970703125
1779312329.1129081,29216,-367.2160949707031
1779312329.7927701,30880,-219.08680725097656
1779312330.188877,31840,-138.2838592529297
1779312395.1947649,33184,-147.68698120117188
1779312396.3597605,35808,-162.5424346923828
1779312396.8225589,36832,-235.5155029296875
1779312398.9573932,41760,-390.28582763671875
1779312399.521127,43072,-194.4082489013672
1779312399.805081,43616,-153.26498413085938
1779312400.71519,45760,-172.16012573242188
1779312401.272676,47072,-437.0955810546875
1779312401.7313812,48160,-596.1163940429688
1779312402.5169206,50016,-267.6230773925781
1779312403.2850325,51840,-289.93731689453125
1779312403.355458,52000,-166.0026092529297
1779312403.5721881,52512,-359.2380065917969
1779312404.4602795,54592,-167.68869018554688
1779312404.8810272,55584,-462.2718200683594
1779312405.1310647,56192,-51.033721923828125
1779312406.2016978,58752,-632.2573852539062
1779312406.7833848,60064,-356.5760498046875
1779312408.145716,63200,-200.76611328125
1779312473.373369,67808,-357.2509460449219
1779312475.8269708,73504,-370.1640625
1779312477.6255248,77664,-104.86091613769531
1779312477.705798,77856,-171.7330322265625
1779312480.912553,85472,-221.4955291748047
1779312481.820711,87584,-201.2124481201172
1779312482.2577157,88576,-191.94915771484375
1779312482.4316845,88992,-519.7581787109375
1779312482.4755547,89088,-427.7176513671875
1779312485.142283,95136,-242.88172912597656
1779312485.3139036,95552,-133.97470092773438
1779312486.1926365,97568,-388.9925842285156
1779312486.3554902,97952,-637.9557495117188
1779312549.9161918,98368,-546.2197265625
1779312550.205229,99040,-444.645751953125
1779312553.7917888,107264,-72.11726379394531
1779312554.558313,109056,-334.685302734375
1779312555.39469,111040,-433.53753662109375
1779312555.8736415,112128,-654.6057739257812
1779312556.4356425,113408,-222.8076934814453
