/home/UFAD/tcuevasmestanza/.conda/envs/lunar/lib/python3.12/site-packages/pygame/pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
/home/UFAD/tcuevasmestanza/.conda/envs/lunar/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `wandb-entity` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/lunar/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `target-kl` is annotated with type `<class 'float'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
/home/UFAD/tcuevasmestanza/.conda/envs/lunar/lib/python3.12/site-packages/tyro/_parsers.py:353: UserWarning: The field `resume-path` is annotated with type `<class 'str'>`, but the default value `None` has type `<class 'NoneType'>`. We'll try to handle this gracefully, but it may cause unexpected behavior.
  warnings.warn(message)
Experiment info saved → runs/LunarLander_VarFramerate_fc_0.0_bud_25_26-08-18-13-07/info_settings.txt
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
Navigation Model Loaded
global_step=1600 | return=-314.93 | steps=50
global_step=1664 | return=-339.57 | steps=52
global_step=1728 | return=-368.81 | steps=54
global_step=1792 | return=-408.06 | steps=56
global_step=1824 | return=-246.48 | steps=57
global_step=1856 | return=-457.65 | steps=58
global_step=1984 | return=-522.67 | steps=62
global_step=1984 | return=-292.57 | steps=62
global_step=2080 | return=-349.72 | steps=65
global_step=2112 | return=-460.72 | steps=66
global_step=2272 | return=-447.88 | steps=71
global_step=2368 | return=-595.72 | steps=74
global_step=2560 | return=-580.01 | steps=80
global_step=2592 | return=-249.45 | steps=81
global_step=2624 | return=-265.30 | steps=82
global_step=2656 | return=-863.67 | steps=83
global_step=2688 | return=-650.36 | steps=84
global_step=2688 | return=-712.07 | steps=84
global_step=2880 | return=-292.51 | steps=90
global_step=2880 | return=-158.06 | steps=90
global_step=2976 | return=-284.54 | steps=93
global_step=3264 | return=-70.20 | steps=102
global_step=3264 | return=-439.15 | steps=102
global_step=3392 | return=-117.01 | steps=106
global_step=3488 | return=-181.79 | steps=109
global_step=3680 | return=-188.99 | steps=60
global_step=3808 | return=-463.32 | steps=61
global_step=3840 | return=-241.42 | steps=54
global_step=4000 | return=-140.43 | steps=74
global_step=4192 | return=-254.18 | steps=78
global_step=4224 | return=-308.25 | steps=132
global_step=4352 | return=-250.72 | steps=136
global_step=4384 | return=-424.22 | steps=137
global_step=4480 | return=-373.05 | steps=81
global_step=4736 | return=-310.77 | steps=85
global_step=4768 | return=-187.49 | steps=65
global_step=4768 | return=-188.12 | steps=92
global_step=4800 | return=-268.11 | steps=67
global_step=4832 | return=-594.42 | steps=84
global_step=5024 | return=-536.89 | steps=66
global_step=5024 | return=-28.56 | steps=157
global_step=5056 | return=-236.71 | steps=77
global_step=5088 | return=-368.16 | steps=56
global_step=5120 | return=-319.97 | steps=66
global_step=5344 | return=-541.62 | steps=64
global_step=5504 | return=-333.01 | steps=51
global_step=5536 | return=-383.70 | steps=98
global_step=5696 | return=-214.71 | steps=178
global_step=5696 | return=-317.49 | steps=106
global_step=5728 | return=-305.67 | steps=88
global_step=5792 | return=-232.24 | steps=96
global_step=5824 | return=-330.88 | steps=56
global_step=6080 | return=-264.99 | steps=80
global_step=6208 | return=-418.78 | steps=57
global_step=6688 | return=-214.33 | steps=59
global_step=6720 | return=-354.50 | steps=51
global_step=6720 | return=-207.84 | steps=128
global_step=6752 | return=-196.78 | steps=78
global_step=6848 | return=-511.24 | steps=65
global_step=6912 | return=-351.44 | steps=65
global_step=6912 | return=-150.30 | steps=84
global_step=7072 | return=-237.60 | steps=71
global_step=7168 | return=-242.75 | steps=86
global_step=7232 | return=-358.33 | steps=52
global_step=7232 | return=-390.40 | steps=58
global_step=7264 | return=-374.82 | steps=120
global_step=7520 | return=-344.56 | steps=53
global_step=7648 | return=-389.46 | steps=56
global_step=7744 | return=-570.24 | steps=84
global_step=7776 | return=-377.36 | steps=52
global_step=8032 | return=-506.94 | steps=90
global_step=8128 | return=-647.12 | steps=75
global_step=8224 | return=-340.91 | steps=172
global_step=8320 | return=-289.67 | steps=80
global_step=8480 | return=-157.30 | steps=113
global_step=8544 | return=-432.69 | steps=57
global_step=8544 | return=-288.69 | steps=109
global_step=8736 | return=-422.27 | steps=61
global_step=8768 | return=-542.38 | steps=79
global_step=8832 | return=-77.70 | steps=97
global_step=8864 | return=-151.47 | steps=157
global_step=8864 | return=-186.38 | steps=161
global_step=9184 | return=-534.68 | steps=76
global_step=9216 | return=-513.19 | steps=71
global_step=9280 | return=-306.05 | steps=50
global_step=9376 | return=-556.22 | steps=66
global_step=9440 | return=-65.28 | steps=80
global_step=9472 | return=-302.41 | steps=85
global_step=9504 | return=-508.77 | steps=75
global_step=9504 | return=-263.27 | steps=69
global_step=9664 | return=-244.49 | steps=58
global_step=9728 | return=-241.64 | steps=87
global_step=9888 | return=-499.82 | steps=246
global_step=10048 | return=-362.90 | steps=78
global_step=10496 | return=-203.34 | steps=85
global_step=10560 | return=-664.71 | steps=78
global_step=10592 | return=-501.14 | steps=65
global_step=10848 | return=-178.77 | steps=61
global_step=10944 | return=-598.70 | steps=68
global_step=11008 | return=-469.60 | steps=67
global_step=11232 | return=-296.87 | steps=93
global_step=11392 | return=-378.00 | steps=67
global_step=11392 | return=-265.25 | steps=88
global_step=11456 | return=-428.90 | steps=60
global_step=11488 | return=-504.89 | steps=62
global_step=11520 | return=-216.87 | steps=92
global_step=11616 | return=-163.15 | steps=203
global_step=11648 | return=-405.95 | steps=139
global_step=11712 | return=-522.01 | steps=78
global_step=11808 | return=-169.86 | steps=78
global_step=11840 | return=-533.38 | steps=92
global_step=12000 | return=-340.71 | steps=65
global_step=12032 | return=-632.51 | steps=73
global_step=12096 | return=-214.18 | steps=378
global_step=12192 | return=-53.42 | steps=381
global_step=12384 | return=-13.60 | steps=246
global_step=12480 | return=-395.23 | steps=61
global_step=12576 | return=-515.06 | steps=88
global_step=12640 | return=-322.69 | steps=52
global_step=12672 | return=-115.91 | steps=100
global_step=12768 | return=-339.09 | steps=84
global_step=12768 | return=-363.63 | steps=54
global_step=12832 | return=-65.78 | steps=146
global_step=12864 | return=-617.43 | steps=70
global_step=13056 | return=-110.23 | steps=77
global_step=13088 | return=-157.12 | steps=134
global_step=13312 | return=-484.76 | steps=76
global_step=13344 | return=-315.50 | steps=123
global_step=13344 | return=-491.67 | steps=60
global_step=13472 | return=-307.79 | steps=61
global_step=13472 | return=-305.48 | steps=62
global_step=13696 | return=-609.49 | steps=255
global_step=13760 | return=-392.41 | steps=59
global_step=13824 | return=-447.34 | steps=62
global_step=13824 | return=-247.46 | steps=75
global_step=13856 | return=-488.49 | steps=69
global_step=13984 | return=-203.69 | steps=60
global_step=14240 | return=-260.93 | steps=63
global_step=14304 | return=-251.23 | steps=71
global_step=14368 | return=-128.61 | steps=82
global_step=14432 | return=-317.11 | steps=72
global_step=14464 | return=-399.33 | steps=55
global_step=14464 | return=-216.66 | steps=52
global_step=14528 | return=-327.69 | steps=51
global_step=14560 | return=-418.22 | steps=103
global_step=14592 | return=-586.90 | steps=158
global_step=14592 | return=-317.16 | steps=65
global_step=15040 | return=-131.39 | steps=109
global_step=15136 | return=-347.86 | steps=51
global_step=15296 | return=-144.06 | steps=217
global_step=15328 | return=-598.85 | steps=85
global_step=15520 | return=-469.58 | steps=83
global_step=15840 | return=-230.13 | steps=62
global_step=15904 | return=-212.47 | steps=79
global_step=16032 | return=-291.16 | steps=67
global_step=16096 | return=-475.08 | steps=65
global_step=16160 | return=-198.26 | steps=76
global_step=16256 | return=-114.69 | steps=91
global_step=16288 | return=-409.18 | steps=59
global_step=16416 | return=-511.45 | steps=65
global_step=16416 | return=-441.89 | steps=57
global_step=16480 | return=-429.10 | steps=150
global_step=16480 | return=-420.27 | steps=60
global_step=16544 | return=-236.34 | steps=129
global_step=16608 | return=-125.16 | steps=88
global_step=16736 | return=-234.53 | steps=90
global_step=16896 | return=-442.48 | steps=301
global_step=16992 | return=-342.51 | steps=57
global_step=16992 | return=-274.11 | steps=78
global_step=17184 | return=-462.83 | steps=57
global_step=17632 | return=-439.93 | steps=72
global_step=17696 | return=-152.86 | steps=96
global_step=17760 | return=-369.91 | steps=137
global_step=17888 | return=-141.72 | steps=113
global_step=17888 | return=-213.27 | steps=88
global_step=18016 | return=-125.97 | steps=163
global_step=18080 | return=-278.19 | steps=113
global_step=18176 | return=-186.60 | steps=115
global_step=18208 | return=-349.11 | steps=59
global_step=18496 | return=-362.49 | steps=64
global_step=18752 | return=-353.47 | steps=54
global_step=18752 | return=-225.59 | steps=68
global_step=18784 | return=-192.92 | steps=165
global_step=18784 | return=-166.71 | steps=91
global_step=18816 | return=-216.55 | steps=86
global_step=18880 | return=-199.80 | steps=81
global_step=18880 | return=-648.71 | steps=74
global_step=18912 | return=-433.05 | steps=59
global_step=19008 | return=-172.48 | steps=137
global_step=19072 | return=-263.33 | steps=76
global_step=19200 | return=-156.18 | steps=102
global_step=19200 | return=-467.02 | steps=62
global_step=19200 | return=-292.63 | steps=191
global_step=19232 | return=-152.21 | steps=95
global_step=19328 | return=-488.00 | steps=80
global_step=19488 | return=-284.46 | steps=95
global_step=19648 | return=-538.39 | steps=85
global_step=19840 | return=-414.43 | steps=60
global_step=19872 | return=-350.67 | steps=52
global_step=19904 | return=-576.08 | steps=68
global_step=19968 | return=-580.32 | steps=228
global_step=19968 | return=-277.12 | steps=64
global_step=20064 | return=-58.32 | steps=141
global_step=20224 | return=-237.14 | steps=68
global_step=20576 | return=-216.60 | steps=139
global_step=20608 | return=-343.15 | steps=52
global_step=20736 | return=-157.15 | steps=69
global_step=20800 | return=-378.29 | steps=55
global_step=20832 | return=-191.97 | steps=63
global_step=20864 | return=-589.07 | steps=242
global_step=20864 | return=-422.14 | steps=96
global_step=20928 | return=-240.18 | steps=67
global_step=20928 | return=-475.30 | steps=65
global_step=20960 | return=-392.41 | steps=54
global_step=21248 | return=-290.98 | steps=148
global_step=21344 | return=-503.78 | steps=79
global_step=21504 | return=-566.65 | steps=85
global_step=21504 | return=-483.40 | steps=106
global_step=21760 | return=-584.71 | steps=83
global_step=21792 | return=-296.48 | steps=79
global_step=21792 | return=-419.90 | steps=56
global_step=21984 | return=-144.12 | steps=82
global_step=22016 | return=-376.08 | steps=63
global_step=22176 | return=-208.54 | steps=123
global_step=22240 | return=-338.75 | steps=143
global_step=22304 | return=-145.47 | steps=96
global_step=22368 | return=-188.47 | steps=76
global_step=22528 | return=-142.80 | steps=103
global_step=22624 | return=-255.11 | steps=85
global_step=22688 | return=-286.23 | steps=94
global_step=22688 | return=-208.90 | steps=54
global_step=22784 | return=-329.79 | steps=59
global_step=22816 | return=-341.76 | steps=69
global_step=22816 | return=-448.00 | steps=64
global_step=22848 | return=-299.14 | steps=123
global_step=22912 | return=-152.05 | steps=71
global_step=23488 | return=-239.73 | steps=124
global_step=23648 | return=-251.25 | steps=88
global_step=23680 | return=-452.27 | steps=59
global_step=23680 | return=-196.57 | steps=52
global_step=23808 | return=-519.89 | steps=62
global_step=23904 | return=-400.72 | steps=79
global_step=23968 | return=-340.03 | steps=158
global_step=24128 | return=-232.24 | steps=65
global_step=24128 | return=-251.54 | steps=72
global_step=24160 | return=-414.68 | steps=59
global_step=24224 | return=-201.72 | steps=136
global_step=24256 | return=-71.38 | steps=130
global_step=24320 | return=-330.51 | steps=50
global_step=24384 | return=-143.76 | steps=97
global_step=24608 | return=-165.30 | steps=116
global_step=24672 | return=-334.02 | steps=77
global_step=24736 | return=-335.66 | steps=63
global_step=24800 | return=-291.11 | steps=119
global_step=24832 | return=-483.88 | steps=63
global_step=24992 | return=-326.53 | steps=126
global_step=25024 | return=-523.52 | steps=65
global_step=25056 | return=-212.37 | steps=110
global_step=25056 | return=-383.74 | steps=75
global_step=25216 | return=-522.54 | steps=74
global_step=25280 | return=-336.44 | steps=76
global_step=25280 | return=-3.29 | steps=138
global_step=25376 | return=-343.83 | steps=52
global_step=25440 | return=-63.05 | steps=97
global_step=25600 | return=-168.02 | steps=167
global_step=25888 | return=-441.47 | steps=61
global_step=25920 | return=-658.51 | steps=75
global_step=26048 | return=-304.92 | steps=64
global_step=26176 | return=-194.23 | steps=103
global_step=26272 | return=-357.40 | steps=51
global_step=26368 | return=-162.43 | steps=69
global_step=26560 | return=-222.18 | steps=71
global_step=26688 | return=-442.12 | steps=79
global_step=26880 | return=-127.83 | steps=135
global_step=26912 | return=-238.75 | steps=52
global_step=27072 | return=-434.09 | steps=63
global_step=27168 | return=-185.17 | steps=55
global_step=27264 | return=-256.19 | steps=68
global_step=27328 | return=-436.06 | steps=58
global_step=27392 | return=-520.44 | steps=65
global_step=27520 | return=-79.51 | steps=104
global_step=27616 | return=-114.43 | steps=91
global_step=27680 | return=-438.50 | steps=125
global_step=27680 | return=-388.06 | steps=124
global_step=27680 | return=-563.21 | steps=102
global_step=27712 | return=-463.51 | steps=90
global_step=27744 | return=-356.47 | steps=167
global_step=27808 | return=-192.04 | steps=78
global_step=27840 | return=-334.60 | steps=197
global_step=27872 | return=-331.78 | steps=126
global_step=27904 | return=-230.42 | steps=88
global_step=27936 | return=-358.70 | steps=54
global_step=27936 | return=-426.01 | steps=58
global_step=27936 | return=-162.32 | steps=99
global_step=27936 | return=-99.57 | steps=96
global_step=28224 | return=-67.17 | steps=100
global_step=28224 | return=-230.58 | steps=72
global_step=28416 | return=-779.38 | steps=77
global_step=28544 | return=-268.46 | steps=61
global_step=28576 | return=-498.28 | steps=68
global_step=28736 | return=-262.54 | steps=57
global_step=29056 | return=-699.27 | steps=73
global_step=29184 | return=-321.14 | steps=51
global_step=29440 | return=-108.28 | steps=159
global_step=29536 | return=-414.88 | steps=56
global_step=29600 | return=-209.37 | steps=78
global_step=29664 | return=-415.36 | steps=61
global_step=29664 | return=-670.41 | steps=85
global_step=29696 | return=-304.83 | steps=62
global_step=29696 | return=-387.77 | steps=71
global_step=29728 | return=-266.75 | steps=76
global_step=29792 | return=-763.76 | steps=76
global_step=29856 | return=-607.64 | steps=69
global_step=29984 | return=-503.97 | steps=64
global_step=30048 | return=-106.91 | steps=138
global_step=30048 | return=-300.35 | steps=68
global_step=30112 | return=-523.53 | steps=67
global_step=30240 | return=-240.10 | steps=71
global_step=30432 | return=-101.53 | steps=129
global_step=30816 | return=-395.12 | steps=54
global_step=31040 | return=-293.26 | steps=96
global_step=31040 | return=-466.93 | steps=71
global_step=31104 | return=-433.77 | steps=59
global_step=31360 | return=-189.94 | steps=56
global_step=31392 | return=-95.38 | steps=107
global_step=31424 | return=-381.53 | steps=53
global_step=31520 | return=-392.79 | steps=135
global_step=31616 | return=-146.43 | steps=95
global_step=31712 | return=-454.43 | steps=59
global_step=31712 | return=-495.52 | steps=62
global_step=31712 | return=-160.84 | steps=97
global_step=31840 | return=-206.68 | steps=125
