step,value
1824,50.0
2336,50.0
9792,50.0
16736,50.0
16992,50.0
21344,50.0
24512,50.0
28320,50.0
29504,50.0
34976,50.0
39616,50.0
52128,50.0
56672,50.0
59680,50.0
60864,50.0
69440,50.0
79232,50.0
80096,50.0
82752,50.0
83328,50.0
106528,50.0
106720,50.0
108768,50.0
109376,50.0
109952,50.0
116480,50.0
121280,50.0
125568,50.0
126272,50.0
129888,50.0
129952,50.0
132416,50.0
144896,50.0
146656,50.0
150528,50.0
152928,50.0
155360,50.0
174048,50.0
180544,50.0
186176,50.0
191392,50.0
195904,50.0
196864,50.0
201664,50.0
203392,50.0
209312,50.0
211520,50.0
215136,50.0
225184,50.0
232128,50.0
234112,50.0
236864,50.0
242048,50.0
261152,50.0
266464,50.0
269696,50.0
277312,50.0
278112,50.0
288096,50.0
289088,50.0
289952,50.0
290912,50.0
297440,50.0
298560,50.0
301280,50.0
302272,50.0
304768,50.0
307712,50.0
314592,50.0
314624,50.0
318752,50.0
318848,50.0
320640,50.0
329952,50.0
333216,50.0
336256,50.0
341056,50.0
342560,50.0
349312,50.0
353408,50.0
355616,50.0
356576,50.0
362176,50.0
364704,50.0
372960,50.0
376160,50.0
387584,50.0
390112,50.0
391392,50.0
395040,50.0
395328,50.0
400608,50.0
401728,50.0
412928,50.0
429216,50.0
429312,50.0
430752,50.0
436800,50.0
442208,50.0
446976,50.0
449856,50.0
456256,50.0
461920,50.0
462496,50.0
463936,50.0
465568,50.0
466208,50.0
467296,50.0
469056,50.0
473312,50.0
475008,50.0
475584,50.0
479456,50.0
485920,50.0
496384,50.0
496416,50.0
496832,50.0
507488,50.0
509120,50.0
514848,50.0
514976,50.0
518528,50.0
527648,50.0
538976,50.0
539520,50.0
539616,50.0
539904,50.0
546624,50.0
547104,50.0
549376,50.0
552544,50.0
554816,50.0
564960,50.0
570624,50.0
571232,50.0
571776,50.0
571872,50.0
573024,50.0
579456,50.0
579776,50.0
582368,50.0
592160,50.0
597280,50.0
597472,50.0
599808,50.0
604672,50.0
610016,50.0
610816,50.0
620128,50.0
622112,50.0
624832,50.0
625120,50.0
625952,50.0
632096,50.0
632544,50.0
636000,50.0
640672,50.0
640736,50.0
641408,50.0
645344,50.0
647136,50.0
651072,50.0
656000,50.0
659776,50.0
660928,50.0
661280,50.0
662528,50.0
672320,50.0
683680,50.0
690144,50.0
691168,50.0
693408,50.0
693664,50.0
693856,50.0
695488,50.0
695936,50.0
696128,50.0
701344,50.0
703296,50.0
703424,50.0
707328,50.0
709632,50.0
711328,50.0
721728,50.0
723840,50.0
725184,50.0
733984,50.0
736736,50.0
743264,50.0
747264,50.0
749664,50.0
751360,50.0
751840,50.0
752992,50.0
759296,50.0
761760,50.0
765760,50.0
773024,50.0
775232,50.0
783520,50.0
784672,50.0
789312,50.0
793696,50.0
796128,50.0
800928,50.0
807392,50.0
807968,50.0
810208,50.0
812448,50.0
812576,50.0
816704,50.0
821728,50.0
823328,50.0
826144,50.0
829056,50.0
829120,50.0
832352,50.0
833056,50.0
834656,50.0
835616,50.0
840224,50.0
844032,50.0
863232,50.0
863904,50.0
869408,50.0
870816,50.0
880000,50.0
882880,50.0
886240,50.0
893504,50.0
907232,50.0
909056,50.0
909504,50.0
914272,50.0
923488,50.0
931840,50.0
941088,50.0
941408,50.0
944928,50.0
951968,50.0
953088,50.0
957184,50.0
965376,50.0
968672,50.0
974400,50.0
976096,50.0
985632,50.0
986816,50.0
991168,50.0
997600,50.0
1001536,50.0
1004160,50.0
1007712,50.0
1010720,50.0
1013536,50.0
1015360,50.0
1016768,50.0
1018112,50.0
1018848,50.0
1026400,50.0
1027584,50.0
1031456,50.0
1035904,50.0
1036864,50.0
1042080,50.0
1047008,50.0
1047584,50.0
1048320,50.0
1054848,50.0
1064672,50.0
1066752,50.0
1067296,50.0
1070080,50.0
1081280,50.0
1081376,50.0
1083136,50.0
1083648,50.0
1086752,50.0
1088736,50.0
1099968,50.0
1107808,50.0
1108384,50.0
1110464,50.0
1113952,50.0
1114304,50.0
1116800,50.0
1153120,50.0
1153536,50.0
1158560,50.0
1162912,50.0
1167296,50.0
1168480,50.0
1184992,50.0
1191168,50.0
1205856,50.0
1207456,50.0
1217152,50.0
1218784,50.0
1219840,50.0
1225728,50.0
1231840,50.0
1232480,50.0
1234016,50.0
1236992,50.0
1237504,50.0
1245664,50.0
1253504,50.0
1254816,50.0
1260768,50.0
1263552,50.0
1266368,50.0
1268544,50.0
1272448,50.0
1281248,50.0
1282048,50.0
1286112,50.0
1287456,50.0
1292960,50.0
1294336,50.0
1297088,50.0
1299072,50.0
1301376,50.0
1304256,50.0
1305312,50.0
1309984,50.0
1311008,50.0
1320384,50.0
1320960,50.0
1329312,50.0
1333920,50.0
1339872,50.0
1350528,50.0
1351232,50.0
1351616,50.0
1353920,50.0
1358560,50.0
1370560,50.0
1372704,50.0
1374592,50.0
1376448,50.0
1378336,50.0
1383424,50.0
1386368,50.0
1389568,50.0
1396512,50.0
1399904,50.0
1406656,50.0
1408448,50.0
1413984,50.0
1415744,50.0
1417344,50.0
1417760,50.0
1424544,50.0
1426112,50.0
1431872,50.0
1438048,50.0
1441536,50.0
1444064,50.0
1447008,50.0
1451008,50.0
1451232,50.0
1456544,50.0
1461696,50.0
1466624,50.0
1472544,50.0
1477792,50.0
1483776,50.0
1494752,50.0
1496576,50.0
1497056,50.0
1500800,50.0
1505184,50.0
1522560,50.0
1527840,50.0
1537568,50.0
1538400,50.0
1538464,50.0
1540000,50.0
1540544,50.0
1541312,50.0
1543872,50.0
1549344,50.0
1556160,50.0
1557856,50.0
1564224,50.0
1569472,50.0
1575648,50.0
1576096,50.0
1578336,50.0
1586944,50.0
1593376,50.0
1605984,50.0
1608800,50.0
1611584,50.0
1616512,50.0
1620928,50.0
1622592,50.0
1629824,50.0
1630496,50.0
1630816,50.0
1635392,50.0
1637152,50.0
1641952,50.0
1645600,50.0
1650496,50.0
1651264,50.0
1654304,50.0
1664864,50.0
1672224,50.0
1672960,50.0
1675200,50.0
1675456,50.0
1676192,50.0
1677472,50.0
1678848,50.0
1678880,50.0
1682336,50.0
1683264,50.0
1684608,50.0
1686656,50.0
1689760,50.0
1693952,50.0
1694432,50.0
1698176,50.0
1713888,50.0
1715424,50.0
1718752,50.0
1723424,50.0
1727232,50.0
1727296,50.0
1730368,50.0
1730656,50.0
1737888,50.0
1741920,50.0
1744640,50.0
1748096,50.0
1758272,50.0
1760864,50.0
1765408,50.0
1767872,50.0
1769568,50.0
1794624,50.0
1794720,50.0
1794816,50.0
1797664,50.0
1798592,50.0
1800000,50.0
1805440,50.0
1806112,50.0
1811840,50.0
1832352,50.0
1838016,50.0
1842656,50.0
1850112,50.0
1850656,50.0
1851616,50.0
1855872,50.0
1856064,50.0
1861280,50.0
