step,value
1824,1.0
2336,1.0
9792,1.0
16736,1.0
16992,1.0
21344,1.0
24512,1.0
28320,1.0
29504,1.0
34976,1.0
39616,1.0
52128,1.0
56672,1.0
59680,1.0
60864,1.0
69440,1.0
79232,1.0
80096,1.0
82752,1.0
83328,1.0
106528,1.0
106720,1.0
108768,1.0
109376,1.0
109952,1.0
116480,1.0
121280,1.0
125568,1.0
126272,1.0
129888,1.0
129952,1.0
132416,1.0
144896,1.0
146656,1.0
150528,1.0
152928,1.0
155360,1.0
174048,1.0
180544,1.0
186176,1.0
191392,1.0
195904,1.0
196864,1.0
201664,1.0
203392,1.0
209312,1.0
211520,1.0
215136,1.0
225184,1.0
232128,1.0
234112,1.0
236864,1.0
242048,1.0
261152,1.0
266464,1.0
269696,1.0
277312,1.0
278112,1.0
288096,1.0
289088,1.0
289952,1.0
290912,1.0
297440,1.0
298560,1.0
301280,1.0
302272,1.0
304768,1.0
307712,1.0
314592,1.0
314624,1.0
318752,1.0
318848,1.0
320640,1.0
329952,1.0
333216,1.0
336256,1.0
341056,1.0
342560,1.0
349312,1.0
353408,1.0
355616,1.0
356576,1.0
362176,1.0
364704,1.0
372960,1.0
376160,1.0
387584,1.0
390112,1.0
391392,1.0
395040,1.0
395328,1.0
400608,1.0
401728,1.0
412928,1.0
429216,1.0
429312,1.0
430752,1.0
436800,1.0
442208,1.0
446976,1.0
449856,1.0
456256,1.0
461920,1.0
462496,1.0
463936,1.0
465568,1.0
466208,1.0
467296,1.0
469056,1.0
473312,1.0
475008,1.0
475584,1.0
479456,1.0
485920,1.0
496384,1.0
496416,1.0
496832,1.0
507488,1.0
509120,1.0
514848,1.0
514976,1.0
518528,1.0
527648,1.0
538976,1.0
539520,1.0
539616,1.0
539904,1.0
546624,1.0
547104,1.0
549376,1.0
552544,1.0
554816,1.0
564960,1.0
570624,1.0
571232,1.0
571776,1.0
571872,1.0
573024,1.0
579456,1.0
579776,1.0
582368,1.0
592160,1.0
597280,1.0
597472,1.0
599808,1.0
604672,1.0
610016,1.0
610816,1.0
620128,1.0
622112,1.0
624832,1.0
625120,1.0
625952,1.0
632096,1.0
632544,1.0
636000,1.0
640672,1.0
640736,1.0
641408,1.0
645344,1.0
647136,1.0
651072,1.0
656000,1.0
659776,1.0
660928,1.0
661280,1.0
662528,1.0
672320,1.0
683680,1.0
690144,1.0
691168,1.0
693408,1.0
693664,1.0
693856,1.0
695488,1.0
695936,1.0
696128,1.0
701344,1.0
703296,1.0
703424,1.0
707328,1.0
709632,1.0
711328,1.0
721728,1.0
723840,1.0
725184,1.0
733984,1.0
736736,1.0
743264,1.0
747264,1.0
749664,1.0
751360,1.0
751840,1.0
752992,1.0
