step,value
2016,63.0
2720,85.0
2912,91.0
6592,61.0
7168,78.0
7840,57.0
8800,50.0
11136,78.0
14784,51.0
15104,94.0
15616,83.0
17632,150.0
17888,83.0
19616,68.0
22816,75.0
25504,73.0
29760,64.0
31584,84.0
36064,131.0
36160,78.0
45504,55.0
48928,62.0
49568,196.0
49792,63.0
52768,52.0
54944,141.0
56736,72.0
57280,70.0
60608,57.0
60640,60.0
61856,60.0
65888,75.0
69920,91.0
70432,105.0
70432,61.0
70912,129.0
72768,57.0
76224,86.0
77184,109.0
78624,230.0
78752,78.0
78944,56.0
79360,76.0
81472,88.0
81760,93.0
84352,77.0
84736,72.0
85728,82.0
91104,70.0
96288,73.0
97920,299.0
98336,308.0
101152,52.0
104384,65.0
109440,52.0
113792,60.0
115616,92.0
122720,133.0
124992,184.0
125792,107.0
127456,76.0
130784,86.0
131808,277.0
132960,67.0
136000,139.0
140800,86.0
144512,50.0
148832,66.0
150816,61.0
151296,78.0
156032,76.0
156928,61.0
160352,75.0
162752,94.0
163712,357.0
164064,66.0
171488,60.0
182240,164.0
182592,55.0
186528,74.0
188608,91.0
189280,88.0
189472,65.0
202592,262.0
204928,134.0
207136,500.0
212384,68.0
213408,195.0
216832,81.0
219200,53.0
226272,91.0
227392,468.0
230560,74.0
238624,130.0
243648,63.0
243936,78.0
244864,66.0
247552,83.0
255360,65.0
258816,92.0
260448,63.0
261792,110.0
263936,94.0
269024,72.0
269280,162.0
270656,137.0
270912,101.0
274208,104.0
282272,80.0
283552,59.0
289856,167.0
291008,73.0
296544,99.0
296672,77.0
297888,62.0
303776,225.0
303904,243.0
323456,95.0
323936,145.0
330048,113.0
335840,107.0
339232,57.0
340640,129.0
341696,114.0
343456,54.0
344480,222.0
347072,95.0
349632,64.0
364032,63.0
367072,88.0
367904,58.0
368864,74.0
372384,70.0
373952,86.0
375648,149.0
377056,109.0
378528,101.0
381344,104.0
386528,130.0
386976,367.0
390432,108.0
394656,71.0
396928,241.0
397952,75.0
398144,242.0
398528,117.0
401376,78.0
407072,136.0
412128,91.0
413248,205.0
415680,194.0
417600,70.0
421088,93.0
421696,73.0
423168,109.0
423776,91.0
424480,232.0
425440,102.0
428160,248.0
429056,229.0
434784,321.0
436960,192.0
442560,68.0
451616,87.0
452576,104.0
454496,69.0
459264,77.0
460864,66.0
469376,242.0
470464,269.0
470752,127.0
473504,77.0
477472,80.0
480864,105.0
482688,181.0
486112,174.0
487616,116.0
