step,value
544,100.0
1824,100.0
2144,100.0
2336,100.0
9792,100.0
16736,100.0
16992,100.0
21344,100.0
24512,100.0
28320,100.0
29504,100.0
33856,100.0
34976,100.0
39616,100.0
52128,100.0
56672,100.0
59680,100.0
60864,100.0
61664,100.0
64960,100.0
69440,100.0
79232,100.0
80096,100.0
80480,100.0
82752,100.0
83328,100.0
106528,100.0
106720,100.0
108768,100.0
109376,100.0
109952,100.0
116480,100.0
121280,100.0
125568,100.0
126272,100.0
129888,100.0
129952,100.0
131648,100.0
132416,100.0
140096,100.0
144896,100.0
146656,100.0
150528,100.0
152928,100.0
155360,100.0
157344,100.0
161472,100.0
174048,100.0
180544,100.0
186176,100.0
191392,100.0
195904,100.0
196864,100.0
201664,100.0
203392,100.0
209312,100.0
211520,100.0
215136,100.0
225184,100.0
232128,100.0
234112,100.0
236000,100.0
236864,100.0
242048,100.0
259488,100.0
261152,100.0
266464,100.0
269696,100.0
277312,100.0
278112,100.0
288096,100.0
289088,100.0
289952,100.0
290912,100.0
296640,100.0
297440,100.0
298560,100.0
301280,100.0
302272,100.0
304768,100.0
307712,100.0
310368,100.0
314592,100.0
314624,100.0
318752,100.0
318848,100.0
320640,100.0
329952,100.0
333216,100.0
336256,100.0
341056,100.0
342560,100.0
349312,100.0
353408,100.0
355616,100.0
356576,100.0
362176,100.0
364704,100.0
372960,100.0
375904,100.0
376160,100.0
387584,100.0
390112,100.0
391392,100.0
395040,100.0
395328,100.0
400608,100.0
401728,100.0
412928,100.0
429216,100.0
429312,100.0
430752,100.0
436800,100.0
442208,100.0
446976,100.0
449856,100.0
456256,100.0
461920,100.0
462496,100.0
463936,100.0
465568,100.0
466208,100.0
467296,100.0
469056,100.0
473312,100.0
475008,100.0
475584,100.0
479456,100.0
485920,100.0
496384,100.0
496416,100.0
496832,100.0
507488,100.0
509120,100.0
514848,100.0
514976,100.0
518528,100.0
527648,100.0
538976,100.0
539520,100.0
539616,100.0
539904,100.0
546624,100.0
547104,100.0
549376,100.0
552544,100.0
554816,100.0
564160,100.0
564960,100.0
570624,100.0
571232,100.0
571776,100.0
571872,100.0
573024,100.0
579456,100.0
579776,100.0
582368,100.0
584544,100.0
592160,100.0
597280,100.0
597472,100.0
599808,100.0
604672,100.0
610016,100.0
610816,100.0
620128,100.0
622112,100.0
624832,100.0
625120,100.0
625952,100.0
632096,100.0
632544,100.0
636000,100.0
640672,100.0
640736,100.0
641408,100.0
645344,100.0
647136,100.0
648896,100.0
651072,100.0
656000,100.0
659776,100.0
660928,100.0
661280,100.0
662528,100.0
672320,100.0
674944,100.0
683680,100.0
690144,100.0
691168,100.0
693408,100.0
693664,100.0
693856,100.0
695488,100.0
695936,100.0
696128,100.0
701344,100.0
703296,100.0
703424,100.0
707328,100.0
709632,100.0
711328,100.0
715168,100.0
721728,100.0
723840,100.0
725184,100.0
725504,100.0
733984,100.0
736736,100.0
743264,100.0
747264,100.0
749664,100.0
751360,100.0
751840,100.0
752992,100.0
759296,100.0
761760,100.0
765760,100.0
773024,100.0
775232,100.0
783520,100.0
784672,100.0
789312,100.0
793696,100.0
796128,100.0
800928,100.0
805888,100.0
807392,100.0
807968,100.0
810208,100.0
812448,100.0
812576,100.0
816704,100.0
821728,100.0
823328,100.0
826144,100.0
829056,100.0
829120,100.0
832352,100.0
833056,100.0
834656,100.0
835616,100.0
840224,100.0
844032,100.0
863232,100.0
863904,100.0
865856,100.0
869408,100.0
870816,100.0
877216,100.0
880000,100.0
882880,100.0
886240,100.0
892224,100.0
893504,100.0
895200,100.0
903648,100.0
907232,100.0
909056,100.0
909504,100.0
912064,100.0
914272,100.0
923488,100.0
926912,100.0
931840,100.0
941088,100.0
941408,100.0
944928,100.0
951968,100.0
953088,100.0
957184,100.0
965376,100.0
968672,100.0
974400,100.0
976096,100.0
985632,100.0
986816,100.0
991168,100.0
997600,100.0
1001536,100.0
1004160,100.0
1007712,100.0
1010720,100.0
1013536,100.0
1015360,100.0
1016768,100.0
1018112,100.0
1018848,100.0
1025312,100.0
1026400,100.0
1027584,100.0
1031456,100.0
1035904,100.0
1036864,100.0
1042080,100.0
1047008,100.0
1047584,100.0
1048320,100.0
1054848,100.0
1064672,100.0
1066752,100.0
1067296,100.0
1070080,100.0
1076192,100.0
1081280,100.0
1081376,100.0
1083136,100.0
1083648,100.0
1086752,100.0
1088736,100.0
1099968,100.0
1107808,100.0
1108384,100.0
1110464,100.0
1113952,100.0
1114304,100.0
1116800,100.0
1122368,100.0
1153120,100.0
1153536,100.0
1158560,100.0
1162912,100.0
1165216,100.0
1167296,100.0
1168480,100.0
1184992,100.0
1191168,100.0
1196832,100.0
1205856,100.0
1207456,100.0
1217152,100.0
1218784,100.0
1219840,100.0
1222784,100.0
1225728,100.0
1231840,100.0
1232480,100.0
1234016,100.0
1236992,100.0
1237504,100.0
1238272,100.0
1245664,100.0
1253504,100.0
1254816,100.0
1260768,100.0
1261184,100.0
1263552,100.0
1266368,100.0
1267520,100.0
1268544,100.0
1272448,100.0
1281248,100.0
1282048,100.0
1286112,100.0
1287456,100.0
1292960,100.0
1294336,100.0
1297088,100.0
1299072,100.0
1301376,100.0
1304256,100.0
1305312,100.0
1307072,100.0
1309984,100.0
1311008,100.0
1320384,100.0
1320960,100.0
1327808,100.0
1329312,100.0
1333920,100.0
1339872,100.0
1345024,100.0
1350528,100.0
1351232,100.0
1351616,100.0
1353920,100.0
1358560,100.0
1361344,100.0
1370560,100.0
1372704,100.0
1374592,100.0
1376448,100.0
1378336,100.0
1383424,100.0
1386368,100.0
1389568,100.0
1396512,100.0
1399904,100.0
1400352,100.0
1402176,100.0
1406656,100.0
1408448,100.0
1413984,100.0
1415744,100.0
1417344,100.0
1417760,100.0
1424544,100.0
1426112,100.0
1431872,100.0
1438048,100.0
1440256,100.0
1441536,100.0
1444064,100.0
1447008,100.0
1449472,100.0
1450272,100.0
1451008,100.0
1451232,100.0
1451328,100.0
1456544,100.0
1461696,100.0
1466624,100.0
1472544,100.0
1477792,100.0
1483776,100.0
1494752,100.0
