step,value
2400,75.0
2816,88.0
5312,87.0
6112,52.0
6464,80.0
6880,59.0
11712,87.0
12032,88.0
12608,67.0
14432,75.0
15264,74.0
17920,92.0
20128,54.0
23968,52.0
25536,84.0
29120,50.0
29280,69.0
40640,85.0
40992,60.0
41248,87.0
43776,90.0
45792,57.0
46816,80.0
47648,69.0
50464,81.0
50496,68.0
51296,78.0
54816,100.0
58912,81.0
59008,54.0
59200,87.0
60864,54.0
63200,58.0
64032,83.0
65088,75.0
65568,83.0
65856,86.0
66240,79.0
67808,64.0
68512,68.0
71072,86.0
75776,74.0
79872,72.0
81312,91.0
83840,81.0
86528,81.0
90208,52.0
93824,133.0
95008,63.0
103936,80.0
106624,81.0
108064,54.0
113440,60.0
116224,89.0
119104,61.0
120256,54.0
124192,58.0
124832,69.0
129280,97.0
129632,64.0
130112,60.0
135520,71.0
142688,84.0
143104,102.0
145408,70.0
146912,81.0
147264,81.0
147584,95.0
155488,78.0
158112,70.0
162080,67.0
162336,68.0
164928,60.0
166112,65.0
171328,89.0
174048,60.0
178976,90.0
182656,90.0
182880,72.0
185632,79.0
189408,51.0
191392,69.0
192416,93.0
193760,83.0
194912,75.0
197824,93.0
199136,70.0
199232,66.0
201248,81.0
206912,91.0
210496,111.0
211328,66.0
214144,73.0
218880,83.0
219328,80.0
230432,66.0
230720,59.0
239584,63.0
240992,87.0
242144,77.0
242784,96.0
244288,90.0
253664,96.0
254784,92.0
255520,65.0
256096,75.0
257984,95.0
259200,55.0
260448,80.0
261856,79.0
263424,84.0
265664,86.0
268000,54.0
270752,71.0
271680,84.0
272000,82.0
272192,63.0
273248,60.0
276672,54.0
279776,72.0
280256,75.0
281376,69.0
282592,88.0
284256,57.0
284544,60.0
284992,107.0
285472,59.0
285952,101.0
287136,60.0
291200,66.0
292832,88.0
302144,90.0
303360,52.0
306880,78.0
307936,54.0
312352,84.0
312992,88.0
312992,67.0
314752,77.0
317568,85.0
319648,64.0
320224,66.0
322336,70.0
323104,71.0
324992,80.0
327520,75.0
328128,67.0
328544,69.0
329376,53.0
338336,86.0
340768,80.0
347264,104.0
350464,82.0
350496,84.0
352096,50.0
354848,65.0
361024,73.0
365440,92.0
368256,103.0
368768,53.0
369056,76.0
370880,81.0
371360,63.0
371648,81.0
375584,71.0
377024,65.0
377248,73.0
380448,68.0
382208,63.0
383968,73.0
392320,61.0
395424,69.0
397152,61.0
402464,84.0
405504,74.0
410400,76.0
410496,69.0
413632,158.0
414144,106.0
418880,57.0
419968,88.0
424064,77.0
424192,83.0
428864,84.0
433184,62.0
438240,73.0
439904,86.0
440640,62.0
443936,82.0
448544,104.0
450112,75.0
453024,69.0
454752,82.0
455072,86.0
456224,75.0
459200,84.0
460992,68.0
464832,77.0
467360,105.0
468288,78.0
470432,50.0
473888,95.0
476416,95.0
477696,85.0
478208,106.0
479520,81.0
480672,89.0
481088,70.0
482080,63.0
486688,105.0
486720,71.0
489568,81.0
489856,71.0
491456,69.0
493760,75.0
494240,63.0
498176,52.0
499872,89.0
502656,76.0
513056,78.0
513312,87.0
518848,86.0
527008,88.0
527776,65.0
534976,61.0
537536,86.0
541952,69.0
547424,81.0
552928,98.0
553440,78.0
557152,97.0
560928,72.0
565280,85.0
570016,62.0
571104,67.0
571264,66.0
573920,67.0
576416,68.0
579552,97.0
581280,53.0
581664,118.0
583616,79.0
586720,68.0
586816,61.0
592672,77.0
593504,97.0
594080,80.0
596864,64.0
598752,64.0
601760,74.0
606432,69.0
610080,91.0
610528,79.0
613408,84.0
615808,105.0
621568,87.0
628960,83.0
633952,88.0
638592,74.0
639680,63.0
642112,113.0
642112,77.0
643840,90.0
646848,63.0
652672,74.0
654080,61.0
655200,92.0
655936,73.0
656832,82.0
657536,72.0
657856,96.0
660032,78.0
665024,67.0
666400,78.0
667104,92.0
668256,90.0
668704,71.0
668864,82.0
675136,99.0
678112,68.0
680800,77.0
683712,65.0
683968,72.0
684960,81.0
688224,78.0
690240,65.0
700672,75.0
705696,78.0
707040,95.0
713824,91.0
715520,97.0
718304,254.0
720064,98.0
723168,62.0
727872,72.0
737952,69.0
740064,105.0
741824,95.0
743072,73.0
750176,68.0
752960,82.0
758560,78.0
759680,115.0
763904,82.0
764736,76.0
767392,85.0
774688,85.0
780448,102.0
780736,79.0
784000,65.0
785280,64.0
785504,78.0
785536,109.0
787712,69.0
790080,98.0
791008,130.0
796960,69.0
796960,364.0
797152,84.0
802400,64.0
805248,82.0
808352,64.0
811776,109.0
816864,77.0
821280,73.0
823040,97.0
827200,76.0
831552,55.0
834496,68.0
835392,127.0
836448,68.0
837856,85.0
844992,75.0
848416,78.0
852640,87.0
855328,62.0
856736,107.0
859008,58.0
859072,66.0
859264,334.0
862976,167.0
869088,64.0
870464,70.0
874560,89.0
878592,73.0
881824,71.0
884672,125.0
891104,60.0
891104,89.0
891328,68.0
892416,100.0
892672,71.0
893216,193.0
899616,105.0
901024,94.0
902592,92.0
902624,82.0
908800,89.0
908832,73.0
910176,98.0
916224,78.0
917696,72.0
918240,71.0
923424,115.0
925056,60.0
925696,69.0
928800,70.0
929408,61.0
930592,98.0
938656,94.0
942784,117.0
944064,61.0
948320,89.0
948896,95.0
956640,72.0
957088,55.0
957664,71.0
958496,61.0
963296,69.0
968256,116.0
971232,61.0
972448,67.0
975616,74.0
976960,81.0
979264,96.0
979456,72.0
981728,85.0
984640,88.0
984704,92.0
985824,211.0
986080,88.0
989216,86.0
994400,66.0
996032,82.0
999168,82.0
1001312,78.0
1008192,55.0
1009568,91.0
1010176,136.0
1011136,87.0
1013024,78.0
1019328,105.0
1022784,107.0
1024256,102.0
1024960,91.0
1025728,88.0
1028928,93.0
1030816,70.0
1032512,105.0
1036096,78.0
1036160,66.0
1042560,102.0
1043392,82.0
1044736,71.0
1048512,80.0
1053792,60.0
1058624,73.0
1059104,67.0
1059456,75.0
1059584,78.0
1061248,80.0
1078016,74.0
1083616,109.0
1089728,135.0
1090144,83.0
1092096,72.0
1092544,76.0
1093568,101.0
1097184,67.0
1103296,71.0
1103488,64.0
1105120,117.0
1105920,77.0
1107520,74.0
1114752,117.0
1118016,111.0
1120672,68.0
1124800,74.0
1127424,84.0
1129376,98.0
1137408,92.0
1139488,60.0
1144480,73.0
1147232,83.0
1152128,86.0
1152384,84.0
1154400,56.0
1157952,96.0
1160160,148.0
1164128,75.0
1172288,66.0
1172512,62.0
1178720,89.0
1180096,82.0
1183328,87.0
1183488,105.0
1186176,83.0
1187808,66.0
1191680,63.0
1194560,93.0
1196192,72.0
1199840,71.0
1202720,79.0
1204160,76.0
1204832,71.0
1205984,183.0
1209152,70.0
1214208,76.0
1214816,74.0
1218912,67.0
1220640,88.0
1223360,68.0
1225856,65.0
1225920,57.0
1225984,102.0
1227456,68.0
1231008,59.0
1232352,92.0
1234240,67.0
1234688,72.0
1239296,94.0
1241472,87.0
1243072,97.0
1247840,70.0
1247936,90.0
1253408,82.0
1258016,93.0
1260288,92.0
1265760,62.0
1266208,68.0
1266272,95.0
1269184,66.0
1279520,85.0
1280512,99.0
1283168,73.0
1288672,69.0
1288736,61.0
1289888,150.0
1294976,80.0
1300224,69.0
1306112,79.0
1319168,100.0
1319296,79.0
1319808,74.0
1321792,68.0
1322752,60.0
1323648,63.0
1323712,95.0
1324992,58.0
1327072,74.0
1336864,64.0
1338880,94.0
1339232,57.0
1340800,93.0
1343136,81.0
1344896,85.0
1348480,101.0
1348896,100.0
1349120,86.0
1349248,87.0
1350528,104.0
1352832,66.0
1355552,65.0
1366752,115.0
1370496,90.0
1373088,72.0
1373344,75.0
1373824,67.0
1375904,91.0
1379488,82.0
1381088,104.0
1386752,156.0
1389376,67.0
1392544,64.0
1393664,77.0
1397408,94.0
1398464,70.0
1399328,59.0
1400736,58.0
1402112,86.0
1402208,60.0
1404896,96.0
1406848,86.0
1407008,125.0
1407680,93.0
1411232,74.0
1412032,69.0
1416960,97.0
1426400,98.0
1428032,85.0
1429696,117.0
1434304,69.0
1434560,113.0
1434624,84.0
1437408,110.0
1443488,108.0
1445376,77.0
1450048,76.0
1453184,74.0
1455968,74.0
1457728,103.0
1463392,70.0
1471264,76.0
1472128,88.0
1472640,106.0
1473728,92.0
1476800,81.0
1478848,63.0
1481088,70.0
1481920,68.0
1482240,104.0
1488288,123.0
1490944,70.0
1491456,81.0
1494496,97.0
1495008,93.0
1496480,61.0
1498240,89.0
1498336,80.0
1498944,78.0
1501728,108.0
1507072,75.0
1507296,87.0
1510560,115.0
1511104,71.0
1515680,136.0
1520128,58.0
1521120,61.0
1524288,83.0
1528864,93.0
1530432,141.0
1532992,186.0
1535328,70.0
1537248,78.0
1539200,61.0
1545024,97.0
1546240,128.0
1546880,99.0
1547072,105.0
1549248,87.0
1556960,87.0
1572160,118.0
1572768,77.0
1573376,77.0
1576448,95.0
1579040,80.0
1582592,94.0
1585728,119.0
1586240,82.0
1586656,76.0
1593376,66.0
1606272,121.0
1608256,68.0
1609152,74.0
1610048,94.0
1610336,66.0
1612864,67.0
1632064,151.0
1637280,72.0
1637888,76.0
1643424,64.0
1643552,124.0
1647680,132.0
1651680,90.0
1652032,87.0
1652512,73.0
1653088,73.0
1653152,76.0
1655008,77.0
1655296,135.0
1658880,64.0
1663584,109.0
1664928,62.0
1667584,72.0
1668544,72.0
1669312,108.0
1672416,86.0
1672544,118.0
1673376,95.0
1673376,58.0
1673568,67.0
1684064,87.0
1690560,105.0
1691136,152.0
1692576,61.0
1698304,83.0
1698336,89.0
1698336,67.0
1699520,89.0
1700288,57.0
1702304,97.0
1703392,73.0
1705312,68.0
1707552,83.0
1708416,74.0
1711456,87.0
1711840,125.0
1712192,85.0
