step,value
2400,-289.1893310546875
2816,-154.965576171875
5312,-260.0936279296875
6112,-219.2429962158203
6464,-233.9829559326172
6880,-421.0132751464844
11712,-422.1107177734375
12032,-218.8589324951172
12608,-173.22332763671875
14432,-384.9071350097656
15264,-285.49603271484375
17920,-248.76760864257812
20128,-280.7022705078125
23968,-373.9708557128906
25536,-119.9821548461914
29120,-360.244384765625
29280,-497.1988220214844
40640,-238.65513610839844
40992,-393.0712585449219
41248,-231.9126434326172
43776,-208.63699340820312
45792,-231.6598358154297
46816,-278.3814392089844
47648,-514.9846801757812
50464,-238.96734619140625
50496,-576.6717529296875
51296,-238.368408203125
54816,-191.7070770263672
58912,-180.88258361816406
59008,-335.7569885253906
59200,-213.63510131835938
60864,-359.8664245605469
63200,-220.71287536621094
64032,-174.88548278808594
65088,-280.197021484375
65568,-150.10914611816406
65856,-242.71705627441406
66240,-722.9443359375
67808,-303.55902099609375
68512,-193.15345764160156
71072,-596.9927368164062
75776,-91.82261657714844
79872,-512.2752075195312
81312,-366.6723327636719
83840,-325.5966796875
86528,-256.983154296875
90208,-262.79632568359375
93824,-570.046630859375
95008,-215.21612548828125
103936,-234.65603637695312
106624,-347.5440979003906
108064,-240.5066680908203
113440,-246.3697509765625
116224,-69.61936950683594
119104,-192.40623474121094
120256,-362.5478210449219
124192,-269.3597106933594
124832,-221.92108154296875
129280,-226.4860076904297
129632,-457.48602294921875
130112,-183.2465362548828
135520,-182.90907287597656
142688,-166.6529998779297
143104,-202.8717498779297
145408,-222.94357299804688
146912,-202.1723175048828
147264,-159.10670471191406
147584,-600.8831787109375
155488,-239.4167022705078
158112,-572.2269897460938
162080,-536.1663818359375
162336,-262.1709289550781
164928,-225.87510681152344
166112,-243.20709228515625
171328,-257.7925109863281
174048,-217.54981994628906
178976,-213.30970764160156
182656,-235.0123291015625
182880,-315.8923645019531
185632,-105.08172607421875
189408,-323.0321350097656
191392,-256.8005676269531
192416,-361.9176330566406
193760,-325.1665344238281
194912,-236.1119384765625
197824,-337.17242431640625
199136,-258.8079833984375
199232,-229.5816192626953
201248,-419.135498046875
206912,-224.20343017578125
210496,-259.2492370605469
211328,-236.1629638671875
214144,-145.9844207763672
218880,-232.3149871826172
219328,-167.801025390625
230432,-180.9414825439453
230720,-459.9780578613281
239584,-241.00125122070312
240992,-279.54937744140625
242144,-157.5574951171875
242784,-127.61026763916016
