step,value
544,2.0
1824,2.0
2144,2.0
2336,2.0
9792,2.0
16736,2.0
16992,2.0
21344,2.0
24512,2.0
28320,2.0
29504,2.0
33856,2.0
34976,2.0
39616,2.0
52128,2.0
56672,2.0
59680,2.0
60864,2.0
61664,2.0
64960,2.0
69440,2.0
79232,2.0
80096,2.0
80480,2.0
82752,2.0
83328,2.0
106528,2.0
106720,2.0
108768,2.0
109376,2.0
109952,2.0
116480,2.0
121280,2.0
125568,2.0
126272,2.0
129888,2.0
129952,2.0
131648,2.0
132416,2.0
140096,2.0
144896,2.0
146656,2.0
150528,2.0
152928,2.0
155360,2.0
157344,2.0
161472,2.0
174048,2.0
180544,2.0
186176,2.0
191392,2.0
195904,2.0
196864,2.0
201664,2.0
203392,2.0
209312,2.0
211520,2.0
215136,2.0
225184,2.0
232128,2.0
234112,2.0
236000,2.0
236864,2.0
242048,2.0
259488,2.0
261152,2.0
266464,2.0
269696,2.0
277312,2.0
278112,2.0
288096,2.0
289088,2.0
289952,2.0
290912,2.0
296640,2.0
297440,2.0
298560,2.0
301280,2.0
302272,2.0
304768,2.0
307712,2.0
310368,2.0
314592,2.0
314624,2.0
318752,2.0
318848,2.0
320640,2.0
329952,2.0
333216,2.0
336256,2.0
341056,2.0
342560,2.0
349312,2.0
353408,2.0
355616,2.0
356576,2.0
362176,2.0
364704,2.0
372960,2.0
375904,2.0
376160,2.0
387584,2.0
390112,2.0
391392,2.0
395040,2.0
395328,2.0
400608,2.0
401728,2.0
412928,2.0
429216,2.0
429312,2.0
430752,2.0
436800,2.0
442208,2.0
446976,2.0
449856,2.0
456256,2.0
461920,2.0
462496,2.0
463936,2.0
465568,2.0
466208,2.0
467296,2.0
469056,2.0
473312,2.0
475008,2.0
475584,2.0
479456,2.0
485920,2.0
496384,2.0
496416,2.0
496832,2.0
507488,2.0
509120,2.0
514848,2.0
514976,2.0
518528,2.0
527648,2.0
538976,2.0
539520,2.0
539616,2.0
539904,2.0
546624,2.0
547104,2.0
549376,2.0
552544,2.0
554816,2.0
564160,2.0
564960,2.0
570624,2.0
571232,2.0
571776,2.0
571872,2.0
573024,2.0
579456,2.0
579776,2.0
582368,2.0
584544,2.0
592160,2.0
597280,2.0
597472,2.0
599808,2.0
604672,2.0
610016,2.0
610816,2.0
620128,2.0
622112,2.0
624832,2.0
625120,2.0
625952,2.0
632096,2.0
632544,2.0
636000,2.0
640672,2.0
640736,2.0
641408,2.0
645344,2.0
647136,2.0
648896,2.0
651072,2.0
656000,2.0
659776,2.0
660928,2.0
661280,2.0
662528,2.0
672320,2.0
674944,2.0
683680,2.0
690144,2.0
691168,2.0
693408,2.0
693664,2.0
693856,2.0
695488,2.0
695936,2.0
696128,2.0
701344,2.0
703296,2.0
703424,2.0
707328,2.0
709632,2.0
711328,2.0
715168,2.0
721728,2.0
723840,2.0
725184,2.0
725504,2.0
733984,2.0
736736,2.0
743264,2.0
747264,2.0
749664,2.0
751360,2.0
751840,2.0
752992,2.0
759296,2.0
761760,2.0
765760,2.0
773024,2.0
775232,2.0
783520,2.0
784672,2.0
789312,2.0
793696,2.0
796128,2.0
800928,2.0
805888,2.0
807392,2.0
807968,2.0
810208,2.0
812448,2.0
812576,2.0
816704,2.0
821728,2.0
823328,2.0
826144,2.0
