step,value
544,20.0
1824,20.0
2144,20.0
2336,20.0
9792,20.0
16736,20.0
16992,20.0
21344,20.0
24512,20.0
28320,20.0
29504,20.0
33856,20.0
34976,20.0
39616,20.0
52128,20.0
56672,20.0
59680,20.0
60864,20.0
61664,20.0
64960,20.0
69440,20.0
79232,20.0
80096,20.0
80480,20.0
82752,20.0
83328,20.0
106528,20.0
106720,20.0
108768,20.0
109376,20.0
109952,20.0
116480,20.0
121280,20.0
125568,20.0
126272,20.0
129888,20.0
129952,20.0
131648,20.0
132416,20.0
140096,20.0
144896,20.0
146656,20.0
150528,20.0
152928,20.0
155360,20.0
157344,20.0
161472,20.0
174048,20.0
180544,20.0
186176,20.0
191392,20.0
195904,20.0
196864,20.0
201664,20.0
203392,20.0
209312,20.0
211520,20.0
215136,20.0
225184,20.0
232128,20.0
234112,20.0
236000,20.0
236864,20.0
242048,20.0
259488,20.0
261152,20.0
266464,20.0
269696,20.0
277312,20.0
278112,20.0
288096,20.0
289088,20.0
289952,20.0
290912,20.0
296640,20.0
297440,20.0
298560,20.0
301280,20.0
302272,20.0
304768,20.0
307712,20.0
310368,20.0
314592,20.0
314624,20.0
318752,20.0
318848,20.0
320640,20.0
329952,20.0
333216,20.0
336256,20.0
341056,20.0
342560,20.0
349312,20.0
353408,20.0
355616,20.0
356576,20.0
362176,20.0
364704,20.0
372960,20.0
375904,20.0
376160,20.0
387584,20.0
390112,20.0
391392,20.0
395040,20.0
395328,20.0
400608,20.0
401728,20.0
412928,20.0
429216,20.0
429312,20.0
430752,20.0
436800,20.0
442208,20.0
446976,20.0
449856,20.0
456256,20.0
461920,20.0
462496,20.0
463936,20.0
465568,20.0
466208,20.0
467296,20.0
469056,20.0
473312,20.0
475008,20.0
475584,20.0
479456,20.0
485920,20.0
496384,20.0
496416,20.0
496832,20.0
507488,20.0
509120,20.0
514848,20.0
514976,20.0
518528,20.0
527648,20.0
538976,20.0
539520,20.0
539616,20.0
539904,20.0
546624,20.0
547104,20.0
549376,20.0
552544,20.0
554816,20.0
564160,20.0
564960,20.0
570624,20.0
571232,20.0
571776,20.0
571872,20.0
573024,20.0
579456,20.0
579776,20.0
582368,20.0
584544,20.0
592160,20.0
