step,value
32768,622.0
65536,617.0
98304,613.0
131072,614.0
163840,616.0
196608,615.0
229376,614.0
262144,618.0
294912,619.0
327680,620.0
360448,620.0
393216,622.0
425984,622.0
458752,622.0
491520,623.0
524288,622.0
557056,623.0
589824,623.0
622592,623.0
655360,623.0
688128,623.0
720896,624.0
753664,623.0
786432,623.0
819200,623.0
851968,623.0
884736,622.0
917504,622.0
950272,622.0
983040,621.0
1015808,621.0
1048576,621.0
1081344,622.0
1114112,620.0
1146880,621.0
1179648,621.0
1212416,621.0
1245184,621.0
1277952,621.0
1310720,621.0
1343488,621.0
1376256,621.0
1409024,621.0
1441792,622.0
1474560,622.0
1507328,622.0
1540096,622.0
1572864,622.0
1605632,622.0
1638400,621.0
1671168,621.0
1703936,620.0
1736704,620.0
1769472,619.0
1802240,619.0
1835008,618.0
1867776,618.0
1900544,617.0
1933312,617.0
1966080,616.0
1998848,616.0
2031616,615.0
2064384,615.0
2097152,615.0
2129920,614.0
2162688,614.0
2195456,614.0
2228224,614.0
2260992,613.0
2293760,613.0
2326528,613.0
2359296,613.0
2392064,613.0
2424832,613.0
2457600,612.0
2490368,612.0
2523136,612.0
2555904,612.0
2588672,612.0
2621440,612.0
2654208,612.0
2686976,612.0
2719744,612.0
2752512,612.0
2785280,613.0
2818048,613.0
2850816,613.0
2883584,611.0
2916352,611.0
2949120,611.0
2981888,612.0
3014656,612.0
3047424,612.0
3080192,612.0
3112960,612.0
3145728,612.0
3178496,612.0
3211264,613.0
3244032,613.0
3276800,613.0
3309568,613.0
3342336,613.0
3375104,613.0
3407872,613.0
3440640,613.0
3473408,613.0
3506176,613.0
3538944,613.0
3571712,613.0
3604480,613.0
3637248,613.0
3670016,612.0
3702784,612.0
3735552,612.0
3768320,612.0
3801088,612.0
3833856,612.0
3866624,612.0
3899392,612.0
3932160,612.0
3964928,612.0
3997696,611.0
4030464,611.0
4063232,612.0
4096000,612.0
4128768,612.0
4161536,612.0
4194304,611.0
4227072,611.0
4259840,611.0
4292608,611.0
4325376,611.0
4358144,611.0
4390912,611.0
4423680,610.0
4456448,611.0
4489216,611.0
4521984,611.0
4554752,611.0
4587520,611.0
4620288,611.0
4653056,611.0
4685824,611.0
4718592,611.0
4751360,611.0
4784128,611.0
4816896,611.0
4849664,611.0
4882432,611.0
4915200,611.0
4947968,611.0
4980736,611.0
5013504,611.0
5046272,611.0
5079040,611.0
5111808,611.0
5144576,611.0
5177344,611.0
5210112,611.0
5242880,611.0
5275648,611.0
5308416,611.0
5341184,611.0
5373952,611.0
5406720,611.0
5439488,611.0
5472256,611.0
5505024,611.0
5537792,611.0
5570560,611.0
5603328,611.0
5636096,611.0
5668864,611.0
5701632,611.0
5734400,611.0
5767168,611.0
5799936,611.0
5832704,611.0
5865472,611.0
5898240,611.0
5931008,611.0
5963776,611.0
5996544,611.0
6029312,611.0
6062080,611.0
6094848,611.0
6127616,611.0
6160384,611.0
6193152,612.0
6225920,612.0
6258688,612.0
6291456,612.0
6324224,612.0
6356992,612.0
6389760,612.0
6422528,612.0
6455296,612.0
6488064,612.0
6520832,612.0
6553600,612.0
6586368,612.0
6619136,612.0
6651904,612.0
6684672,612.0
6717440,612.0
6750208,612.0
6782976,612.0
6815744,612.0
6848512,612.0
6881280,613.0
6914048,613.0
6946816,613.0
6979584,613.0
7012352,613.0
7045120,613.0
7077888,613.0
7110656,613.0
7143424,613.0
7176192,613.0
7208960,613.0
7241728,613.0
7274496,613.0
7307264,613.0
7340032,613.0
7372800,613.0
7405568,613.0
7438336,613.0
7471104,613.0
7503872,613.0
7536640,613.0
7569408,613.0
7602176,613.0
7634944,614.0
7667712,614.0
7700480,613.0
7733248,613.0
7766016,613.0
7798784,613.0
7831552,613.0
7864320,613.0
7897088,613.0
7929856,613.0
7962624,613.0
7995392,613.0
8028160,613.0
8060928,613.0
8093696,613.0
8126464,613.0
8159232,613.0
8192000,613.0
8224768,613.0
8257536,613.0
8290304,613.0
8323072,613.0
8355840,613.0
8388608,613.0
8421376,613.0
8454144,613.0
8486912,613.0
8519680,613.0
8552448,613.0
8585216,613.0
8617984,613.0
8650752,613.0
8683520,613.0
8716288,613.0
8749056,613.0
8781824,613.0
8814592,613.0
8847360,613.0
8880128,613.0
8912896,613.0
8945664,613.0
8978432,613.0
9011200,613.0
9043968,613.0
9076736,613.0
9109504,613.0
9142272,613.0
9175040,613.0
9207808,613.0
9240576,613.0
9273344,613.0
9306112,613.0
9338880,613.0
9371648,613.0
9404416,613.0
9437184,613.0
9469952,613.0
9502720,613.0
9535488,613.0
9568256,613.0
9601024,613.0
9633792,613.0
9666560,613.0
9699328,613.0
9732096,613.0
9764864,613.0
9797632,613.0
9830400,613.0
9863168,613.0
9895936,613.0
9928704,613.0
9961472,613.0
9994240,613.0
10027008,613.0
10059776,613.0
10092544,613.0
10125312,613.0
10158080,613.0
10190848,613.0
10223616,613.0
10256384,613.0
10289152,613.0
10321920,613.0
10354688,613.0
10387456,613.0
10420224,613.0
10452992,613.0
10485760,613.0
10518528,613.0
10551296,613.0
10584064,613.0
10616832,613.0
10649600,613.0
10682368,613.0
10715136,613.0
10747904,613.0
10780672,613.0
10813440,613.0
10846208,613.0
10878976,613.0
10911744,613.0
10944512,613.0
10977280,613.0
11010048,613.0
11042816,613.0
11075584,613.0
11108352,613.0
11141120,613.0
11173888,613.0
11206656,613.0
11239424,613.0
11272192,613.0
11304960,613.0
11337728,613.0
11370496,613.0
11403264,613.0
11436032,613.0
11468800,613.0
11501568,613.0
11534336,613.0
11567104,613.0
11599872,613.0
11632640,613.0
11665408,613.0
11698176,613.0
11730944,613.0
11763712,613.0
11796480,613.0
11829248,613.0
11862016,613.0
11894784,613.0
11927552,613.0
11960320,613.0
11993088,613.0
12025856,613.0
12058624,613.0
12091392,613.0
12124160,613.0
12156928,613.0
12189696,613.0
12222464,613.0
12255232,613.0
12288000,613.0
12320768,612.0
12353536,612.0
12386304,612.0
12419072,612.0
12451840,612.0
12484608,612.0
12517376,612.0
12550144,612.0
12582912,612.0
12615680,612.0
12648448,612.0
12681216,612.0
12713984,612.0
12746752,612.0
12779520,612.0
12812288,612.0
12845056,612.0
12877824,612.0
12910592,612.0
12943360,613.0
12976128,613.0
13008896,613.0
13041664,613.0
13074432,613.0
13107200,613.0
13139968,613.0
13172736,612.0
13205504,612.0
13238272,612.0
13271040,612.0
13303808,612.0
13336576,612.0
13369344,613.0
13402112,613.0
13434880,613.0
13467648,613.0
13500416,613.0
13533184,613.0
13565952,613.0
13598720,613.0
13631488,613.0
13664256,613.0
13697024,613.0
13729792,613.0
13762560,613.0
13795328,613.0
13828096,613.0
13860864,613.0
13893632,613.0
13926400,613.0
13959168,613.0
13991936,613.0
14024704,613.0
14057472,613.0
14090240,613.0
14123008,613.0
14155776,613.0
14188544,613.0
14221312,613.0
14254080,613.0
14286848,613.0
14319616,613.0
14352384,613.0
14385152,614.0
14417920,614.0
14450688,614.0
14483456,614.0
14516224,614.0
14548992,614.0
14581760,614.0
14614528,614.0
14647296,614.0
14680064,614.0
14712832,614.0
14745600,614.0
14778368,614.0
14811136,614.0
14843904,614.0
14876672,614.0
14909440,614.0
14942208,614.0
14974976,614.0
15007744,614.0
15040512,614.0
15073280,614.0
15106048,614.0
15138816,614.0
15171584,614.0
15204352,614.0
15237120,614.0
15269888,614.0
15302656,614.0
15335424,614.0
15368192,614.0
15400960,614.0
15433728,614.0
15466496,614.0
15499264,615.0
15532032,615.0
15564800,615.0
15597568,615.0
15630336,615.0
15663104,615.0
15695872,615.0
15728640,615.0
15761408,615.0
15794176,615.0
15826944,615.0
15859712,615.0
15892480,615.0
15925248,615.0
15958016,615.0
15990784,615.0
16023552,615.0
16056320,615.0
16089088,615.0
16121856,615.0
16154624,615.0
16187392,615.0
16220160,615.0
16252928,615.0
16285696,615.0
16318464,615.0
16351232,615.0
16384000,615.0
16416768,615.0
16449536,615.0
16482304,615.0
16515072,615.0
16547840,615.0
16580608,615.0
16613376,615.0
16646144,615.0
16678912,615.0
16711680,615.0
16744448,615.0
16777216,615.0
16809984,615.0
16842752,615.0
16875520,615.0
16908288,615.0
16941056,615.0
16973824,615.0
17006592,615.0
17039360,615.0
17072128,615.0
17104896,615.0
17137664,615.0
17170432,615.0
17203200,615.0
17235968,615.0
17268736,615.0
17301504,615.0
17334272,615.0
17367040,615.0
17399808,615.0
17432576,615.0
17465344,615.0
17498112,615.0
17530880,616.0
17563648,616.0
17596416,616.0
17629184,616.0
17661952,616.0
17694720,616.0
17727488,616.0
17760256,616.0
17793024,616.0
17825792,616.0
17858560,616.0
17891328,616.0
17924096,616.0
17956864,616.0
17989632,616.0
18022400,616.0
18055168,616.0
18087936,616.0
18120704,616.0
18153472,616.0
18186240,616.0
18219008,616.0
18251776,616.0
18284544,616.0
18317312,616.0
18350080,616.0
18382848,616.0
18415616,616.0
18448384,616.0
18481152,616.0
18513920,616.0
18546688,616.0
18579456,616.0
18612224,616.0
18644992,616.0
18677760,616.0
18710528,616.0
18743296,616.0
18776064,616.0
18808832,616.0
18841600,616.0
18874368,616.0
18907136,616.0
18939904,616.0
18972672,616.0
19005440,616.0
19038208,616.0
19070976,616.0
19103744,616.0
19136512,616.0
19169280,616.0
19202048,616.0
19234816,616.0
19267584,617.0
19300352,617.0
19333120,617.0
19365888,617.0
19398656,617.0
19431424,617.0
19464192,617.0
19496960,617.0
19529728,617.0
19562496,617.0
19595264,617.0
19628032,617.0
19660800,617.0
19693568,617.0
19726336,617.0
19759104,617.0
19791872,617.0
19824640,617.0
19857408,617.0
19890176,617.0
19922944,617.0
19955712,617.0
19988480,617.0
20021248,617.0
20054016,617.0
20086784,617.0
20119552,617.0
20152320,617.0
20185088,617.0
20217856,617.0
20250624,617.0
20283392,617.0
20316160,617.0
20348928,617.0
20381696,617.0
20414464,617.0
20447232,616.0
20480000,616.0
20512768,616.0
20545536,616.0
20578304,616.0
20611072,616.0
20643840,616.0
20676608,616.0
20709376,616.0
20742144,616.0
20774912,616.0
20807680,616.0
20840448,616.0
20873216,616.0
20905984,616.0
20938752,616.0
20971520,616.0
21004288,616.0
21037056,616.0
21069824,616.0
21102592,616.0
21135360,616.0
21168128,616.0
21200896,616.0
21233664,616.0
21266432,616.0
21299200,616.0
21331968,616.0
21364736,616.0
21397504,616.0
21430272,617.0
21463040,617.0
21495808,617.0
21528576,617.0
21561344,617.0
21594112,617.0
21626880,617.0
21659648,617.0
21692416,617.0
21725184,617.0
21757952,617.0
21790720,617.0
21823488,617.0
21856256,617.0
21889024,617.0
21921792,617.0
21954560,617.0
21987328,617.0
22020096,617.0
22052864,617.0
22085632,617.0
22118400,617.0
22151168,617.0
22183936,617.0
22216704,617.0
22249472,617.0
22282240,617.0
22315008,617.0
22347776,617.0
22380544,617.0
22413312,617.0
22446080,617.0
22478848,617.0
22511616,617.0
22544384,617.0
22577152,617.0
22609920,617.0
22642688,617.0
22675456,617.0
22708224,617.0
22740992,617.0
22773760,617.0
22806528,617.0
22839296,617.0
22872064,617.0
22904832,617.0
22937600,617.0
22970368,617.0
23003136,617.0
23035904,617.0
23068672,617.0
23101440,617.0
23134208,617.0
23166976,617.0
23199744,617.0
23232512,617.0
23265280,617.0
23298048,617.0
23330816,617.0
23363584,617.0
23396352,617.0
23429120,617.0
23461888,617.0
23494656,617.0
23527424,617.0
23560192,617.0
23592960,617.0
23625728,617.0
23658496,617.0
23691264,617.0
23724032,617.0
23756800,617.0
23789568,617.0
23822336,617.0
23855104,617.0
23887872,617.0
23920640,617.0
23953408,617.0
23986176,617.0
24018944,617.0
24051712,617.0
24084480,617.0
24117248,617.0
24150016,617.0
24182784,617.0
24215552,617.0
24248320,617.0
24281088,617.0
24313856,617.0
24346624,617.0
24379392,617.0
24412160,617.0
24444928,617.0
24477696,617.0
24510464,617.0
24543232,617.0
24576000,617.0
24608768,617.0
24641536,617.0
24674304,617.0
24707072,617.0
24739840,617.0
24772608,617.0
24805376,617.0
24838144,617.0
24870912,617.0
24903680,617.0
24936448,617.0
24969216,617.0
25001984,617.0
25034752,617.0
25067520,617.0
25100288,617.0
25133056,617.0
25165824,617.0
25198592,617.0
25231360,617.0
25264128,617.0
25296896,617.0
25329664,617.0
25362432,617.0
25395200,617.0
25427968,617.0
25460736,617.0
25493504,617.0
25526272,617.0
25559040,617.0
25591808,617.0
25624576,617.0
25657344,617.0
25690112,617.0
25722880,617.0
25755648,617.0
25788416,617.0
25821184,617.0
25853952,617.0
25886720,617.0
25919488,617.0
25952256,617.0
25985024,617.0
26017792,617.0
26050560,617.0
26083328,617.0
26116096,617.0
26148864,617.0
26181632,617.0
26214400,617.0
26247168,617.0
26279936,617.0
26312704,617.0
26345472,617.0
26378240,617.0
26411008,617.0
26443776,617.0
26476544,617.0
26509312,617.0
26542080,617.0
26574848,617.0
26607616,617.0
26640384,617.0
26673152,617.0
26705920,617.0
26738688,617.0
26771456,617.0
26804224,617.0
26836992,617.0
26869760,617.0
26902528,617.0
26935296,617.0
26968064,617.0
27000832,617.0
27033600,617.0
27066368,617.0
27099136,617.0
27131904,617.0
27164672,617.0
27197440,617.0
27230208,617.0
27262976,617.0
27295744,617.0
27328512,617.0
27361280,617.0
27394048,617.0
27426816,617.0
27459584,617.0
27492352,617.0
27525120,617.0
27557888,616.0
27590656,616.0
27623424,616.0
27656192,616.0
27688960,616.0
27721728,616.0
27754496,616.0
27787264,616.0
27820032,616.0
27852800,616.0
27885568,616.0
27918336,616.0
27951104,616.0
27983872,616.0
28016640,616.0
28049408,616.0
28082176,616.0
28114944,616.0
28147712,616.0
28180480,616.0
28213248,616.0
28246016,616.0
28278784,616.0
28311552,616.0
28344320,616.0
28377088,616.0
28409856,616.0
28442624,616.0
28475392,616.0
28508160,616.0
28540928,616.0
28573696,616.0
28606464,616.0
28639232,616.0
28672000,616.0
28704768,616.0
28737536,616.0
28770304,616.0
28803072,616.0
28835840,616.0
28868608,616.0
28901376,616.0
28934144,616.0
28966912,616.0
28999680,616.0
29032448,616.0
29065216,616.0
29097984,616.0
29130752,616.0
29163520,616.0
29196288,616.0
29229056,617.0
29261824,616.0
29294592,617.0
29327360,617.0
29360128,617.0
29392896,617.0
29425664,617.0
29458432,617.0
29491200,617.0
29523968,617.0
29556736,617.0
29589504,617.0
29622272,617.0
29655040,617.0
29687808,617.0
29720576,617.0
29753344,617.0
29786112,617.0
29818880,617.0
29851648,617.0
29884416,617.0
29917184,617.0
29949952,617.0
29982720,617.0
30015488,617.0
30048256,617.0
30081024,617.0
30113792,617.0
30146560,617.0
30179328,617.0
30212096,617.0
30244864,617.0
30277632,617.0
30310400,617.0
30343168,617.0
30375936,617.0
30408704,617.0
30441472,617.0
30474240,617.0
30507008,617.0
30539776,617.0
30572544,617.0
30605312,617.0
30638080,617.0
30670848,617.0
30703616,617.0
30736384,617.0
30769152,617.0
30801920,617.0
30834688,617.0
30867456,617.0
30900224,617.0
30932992,617.0
30965760,617.0
30998528,617.0
31031296,617.0
31064064,617.0
31096832,617.0
31129600,617.0
31162368,617.0
31195136,617.0
31227904,617.0
31260672,617.0
31293440,617.0
31326208,617.0
31358976,617.0
31391744,617.0
31424512,617.0
31457280,617.0
31490048,617.0
31522816,617.0
31555584,617.0
31588352,617.0
31621120,617.0
31653888,617.0
31686656,617.0
31719424,617.0
31752192,617.0
31784960,617.0
31817728,616.0
31850496,616.0
31883264,616.0
31916032,616.0
31948800,616.0
31981568,616.0
32014336,616.0
32047104,616.0
32079872,616.0
32112640,616.0
32145408,616.0
32178176,616.0
32210944,616.0
32243712,616.0
32276480,616.0
32309248,616.0
32342016,616.0
32374784,616.0
32407552,616.0
32440320,616.0
32473088,616.0
32505856,616.0
32538624,616.0
32571392,616.0
32604160,616.0
32636928,616.0
32669696,616.0
32702464,616.0
32735232,616.0
32768000,616.0
32800768,616.0
32833536,616.0
32866304,616.0
32899072,616.0
32931840,616.0
32964608,616.0
32997376,616.0
33030144,616.0
33062912,616.0
33095680,616.0
33128448,616.0
33161216,616.0
33193984,616.0
33226752,616.0
33259520,616.0
33292288,616.0
33325056,616.0
33357824,616.0
33390592,616.0
33423360,616.0
33456128,616.0
33488896,616.0
33521664,616.0
33554432,616.0
33587200,616.0
33619968,616.0
33652736,616.0
33685504,616.0
33718272,616.0
33751040,616.0
33783808,616.0
33816576,616.0
33849344,616.0
33882112,616.0
33914880,616.0
33947648,616.0
33980416,616.0
34013184,616.0
34045952,616.0
34078720,616.0
34111488,616.0
34144256,616.0
34177024,616.0
34209792,616.0
34242560,616.0
34275328,616.0
34308096,616.0
34340864,616.0
34373632,616.0
34406400,616.0
34439168,616.0
34471936,616.0
34504704,616.0
34537472,616.0
34570240,616.0
34603008,616.0
34635776,616.0
34668544,616.0
34701312,616.0
34734080,616.0
34766848,616.0
34799616,615.0
34832384,615.0
34865152,615.0
34897920,615.0
34930688,615.0
34963456,615.0
34996224,615.0
35028992,615.0
35061760,615.0
35094528,615.0
35127296,615.0
35160064,615.0
35192832,615.0
35225600,615.0
35258368,615.0
35291136,615.0
35323904,615.0
35356672,615.0
35389440,615.0
35422208,616.0
35454976,616.0
35487744,616.0
35520512,616.0
35553280,616.0
35586048,616.0
35618816,616.0
35651584,616.0
35684352,616.0
35717120,616.0
35749888,616.0
35782656,616.0
35815424,616.0
35848192,616.0
35880960,616.0
35913728,616.0
35946496,616.0
35979264,616.0
36012032,616.0
36044800,616.0
36077568,616.0
36110336,616.0
36143104,616.0
36175872,616.0
36208640,616.0
36241408,616.0
36274176,616.0
36306944,616.0
36339712,616.0
36372480,616.0
36405248,616.0
36438016,616.0
36470784,616.0
36503552,616.0
36536320,616.0
36569088,616.0
36601856,616.0
36634624,616.0
36667392,616.0
36700160,616.0
36732928,616.0
36765696,616.0
36798464,616.0
36831232,616.0
36864000,616.0
36896768,616.0
36929536,616.0
36962304,616.0
36995072,616.0
37027840,616.0
37060608,615.0
37093376,615.0
37126144,615.0
37158912,615.0
37191680,615.0
37224448,615.0
37257216,615.0
37289984,615.0
37322752,615.0
37355520,615.0
37388288,615.0
37421056,615.0
37453824,615.0
37486592,615.0
37519360,615.0
37552128,615.0
37584896,615.0
37617664,615.0
37650432,615.0
37683200,615.0
37715968,615.0
37748736,615.0
37781504,615.0
37814272,615.0
37847040,615.0
37879808,615.0
37912576,615.0
37945344,615.0
