model,frame_cost,budget,n_runs,n_episodes,reward_mean,reward_std,nav_reward_mean,nav_reward_std,frames_mean,frames_std,vy_mean,vy_std,success_pct_mean,success_pct_std

fixed-5fps,2.0,100000.0,1,1000,-116.4360,0.0000,-91.9780,0.0000,13.33,0.00,0.7107,0.0000,9.90,0.00
fixed-10fps,2.0,100000.0,1,1000,55.0555,0.0000,127.0115,0.0000,37.17,0.00,0.3686,0.0000,71.40,0.00
fixed-25fps,2.0,100000.0,1,1000,70.8287,0.0000,266.5407,0.0000,99.34,0.00,0.1272,0.0000,97.60,0.00
fixed-50fps,2.0,100000.0,1,1000,-125.8487,0.0000,273.2073,0.0000,201.52,0.00,0.1149,0.0000,98.80,0.00

budget-pen,2.0,25.0,1,1000,61.0050,0.0000,118.3250,0.0000,29.78,0.00,0.3748,0.0000,75.80,0.00
budget-pen,2.0,30.0,1,1000,74.7366,0.0000,138.7086,0.0000,33.10,0.00,0.3582,0.0000,86.00,0.00
budget-pen,2.0,50.0,1,1000,108.1673,0.0000,189.1893,0.0000,41.59,0.00,0.2707,0.0000,87.50,0.00
budget-pen,2.0,75.0,1,1000,132.8607,0.0000,227.4767,0.0000,48.36,0.00,0.2061,0.0000,94.90,0.00
budget-pen,2.0,100.0,1,1000,131.6601,0.0000,225.4021,0.0000,47.91,0.00,0.2089,0.0000,92.70,0.00

no-budget-pen,2.0,100000.0,1,1000,133.1795,0.0000,226.0675,0.0000,47.50,0.00,0.2106,0.0000,87.90,0.00

budget-term,2.0,25.0,1,1000,68.7058,0.0000,125.4278,0.0000,29.46,0.00,0.3740,0.0000,78.50,0.00
budget-term,2.0,30.0,1,1000,72.5214,0.0000,136.7474,0.0000,33.23,0.00,0.3624,0.0000,83.60,0.00
budget-term,2.0,50.0,1,1000,111.4985,0.0000,194.4425,0.0000,42.51,0.00,0.2706,0.0000,91.00,0.00
budget-term,2.0,75.0,1,1000,131.3491,0.0000,221.7571,0.0000,46.25,0.00,0.2158,0.0000,91.40,0.00
budget-term,2.0,100.0,1,1000,131.6601,0.0000,225.4021,0.0000,47.91,0.00,0.2089,0.0000,92.70,0.00
